en,pa,translated_helsinki
0 months to 6 years,0 ਮਹੀਨੇ ਤੋਂ 6 ਸਾਲ,0 months from 6 years
Severely Stunted,ਬੁਰੀ ਤਰ੍ਹਾਂ ਸਟੰਟ ਹੋਇਆ,He was badly injured.
Moderately stunted,ਔਸਤ ਰੂਪ ਨਾਲ ਅਵਿਕਸਿਤ,Randomly Placed Gaps on Redeal
Normal,ਆਮ,General
Underweight (Weight for Age)- ,ਘੱਟ ਭਾਰ (ਉਮਰ ਅਨੁਸਾਰ ਭਾਰ) ,Lowweight (weight by age)
Severely Underweight,ਬਹੁਤ ਘੱਟ ਭਾਰ,Very Low
Moderately Underweight,ਦਰਮਿਆਨਾ ਘੱਟ ਭਾਰ,Periodic interest rate [T]
Wasting (Weight for Height)- ,ਦੁਰਬਲਤਾ (ਕੱਦ ਅਨੁਸਾਰ ਵਜ਼ਨ)- ,Humidity (in which case)--
0 months to 5 years,0 ਮਹੀਨੇ ਤੋਂ 5 ਸਾਲ,0 months from 5 years
Severely Wasted (SAM),ਬਹੁਤ ਦੁਰਬਲਤਾ (ਐਸਏਐਮ),Very Hard (SAM)
Moderately Wasted (MAM),ਦਰਮਿਆਨੀ ਦੁਰਬਲਤਾ (ਐਮਏਐਮ),Horizontal Expand (AM)
Overweight,ਵੱਧ ਭਾਰ,Very Hard
Obese,ਮੋਟਾ,Motota
Above standards are defined as per given above mentioned age brackets,ਉਪਰੋਕਤ ਮਾਪਦੰਡਾਂ ਨੂੰ ਉੱਪਰ ਦੱਸੇ ਗਏ ਉਮਰ ਬਰੈਕਟਾਂ ਅਨੁਸਾਰ ਪਰਿਭਾਸ਼ਿਤ ਕੀਤਾ ਗਿਆ ਹੈ,The above - mentioned age bracket is influenced by the above - mentioned set of values
About Reference tables,ਸੰਬੰਧਿਤ ਸਾਰਣੀ ਬਾਰੇ,About related graph
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,1997 ਅਤੇ 2003 ਦੇ ਵਿਚਕਾਰ ਦੁਨੀਆ ਭਰ ਦੇ ਨਵਜੰਮੇ ਬੱਚਿਆਂ ਅਤੇ ਛੋਟੇ ਬੱਚਿਆਂ ਦੇ ਵਾਧੇ ਅਤੇ ਵਿਕਾਸ ਦਾ ਮੁਲਾਂਕਣ ਕਰਨ ਲਈ ਨਵੇਂ ਵਿਕਾਸ ਵਕਰ ਤਿਆਰ ਕਰਨ ਲਈ WHO ਮਲਟੀਸੈਂਟਰ ਗਰੋਥ ਰੈਫਰੈਂਸ ਸਟੱਡੀ (MGRS) ਕੀਤੀ ਗਈ ਸੀ।.,"Between 1997 and 2003, the WHO Multisentergroth Reference Study (MGRS) was launched to prepare a new development for the growth and development of new children and small children worldwide."
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS ਨੇ ਵਿਆਪਕ ਤੌਰ 'ਤੇ ਵੱਖ-ਵੱਖ ਨਸਲੀ ਪਿਛੋਕੜ ਅਤੇ ਸੱਭਿਆਚਾਰਕ ਦੇ (ਬ੍ਰਾਜ਼ੀਲ, ਘਾਨਾ, ਭਾਰਤ, ਨਾਰਵੇ, ਓਮਾਨ ਅਤੇ ਅਮਰੀਕਾ) ਲਗਭਗ 8500 ਬੱਚਿਆਂ ਤੋਂ ਪ੍ਰਾਇਮਰੀ ਵਿਕਾਸ ਅੰਕੜੇ ਅਤੇ ਸੰਬੰਧਿਤ ਜਾਣਕਾਰੀ ਇਕੱਠੀ ਕੀਤੀ।.","MGRS has gathered some 8500 primary development statistics and related information from various ethnic backgrounds and sociologists (Brazil, Ghana, India, Norway, Oman and the United States)."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,ਨਵੇਂ ਵਿਕਾਸ ਵਕਰਾਂ ਤੋਂ ਉਮੀਦ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਕਿ ਉਹ ਇੱਕ ਅਜਿਹਾ ਅੰਤਰਰਾਸ਼ਟਰੀ ਮਿਆਰ ਪ੍ਰਦਾਨ ਕਰੇਗਾ ਜੋ ਜਨਮ ਤੋਂ ਲੈ ਕੇ ਪੰਜ ਸਾਲ ਦੀ ਉਮਰ ਤੱਕ ਦੇ ਸਾਰੇ ਬੱਚਿਆਂ ਲਈ ਸਰੀਰਕ ਵਿਕਾਸ ਦਾ ਸਭ ਤੋਂ ਵਧੀਆ ਵਰਣਨ ਦਰਸਾਉਂਏ ਅਤੇ ਛਾਤੀ ਦਾ ਦੁੱਧ ਚੁੰਘਣ ਵਾਲੇ ਬੱਚੇ ਨੂੰ ਵਾਧੇ ਅਤੇ ਵਿਕਾਸ ਲਈ ਆਦਰਸ਼ ਮਾਡਲ ਵਜੋਂ ਸਥਾਪਿਤ ਕਰਦਾ ਹੈ।.,New development workers are expected to provide an international standard that represents the best description of physical development for all children from birth up to five years of age and sets a model for growth and development.
How to revive your Health?,ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ?,How to Improve Your Health
How to revive your health if you are Severely Wasted (SAM),ਜੇ ਤੁਸੀਂ ਗੰਭੀਰ ਤੌਰ 'ਤੇ ਦੁਰਬਲ ਹੋ ਗਏ ਹੋ (ਐਸਏਐਮ) ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ,How to improve your health if you are severely impaired (SCM)
How to revive your health if you are Moderately Wasted (MAM),ਜੇ ਤੁਸੀਂ ਮੱਧਮ ਤੌਰ 'ਤੇ ਦੁਰਬਲ ਹੋ (ਐਮਏਐਮ) ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ,If you are breast-feeding (AMAM) how to improve your health
How to revive your health if you are Underweight,ਜੇਕਰ ਤੁਹਾਡਾ ਭਾਰ ਘੱਟ ਹੈ ਤਾਂ ਆਪਣੀ ਸਿਹਤ ਨੂੰ ਕਿਵੇਂ ਠੀਕ ਕਰਨਾ ਹੈ,"If your weight is low, how to improve your health"
Check Ticket Status,ਟਿਕਟ ਸਥਿਤੀ ਦੀ ਜਾਂਚ ਕਰੋ,Check the location of the note
Please provide your mobile number and a ticket number.,ਕਿਰਪਾ ਕਰਕੇ ਆਪਣਾ ਮੋਬਾਈਲ ਨੰਬਰ ਅਤੇ ਟਿਕਟ ਨੰਬਰ ਪ੍ਰਦਾਨ ਕਰੋ।,Please provide your mobile number and ticket number.
Mobile ,ਮੋਬਾਈਲ ,Mobile
Ticket Number ,ਟਿਕਟ ਨੰਬਰ ,Number of Ticks
View Ticket,ਟਿਕਟ ਦੇਖੋ,View the scores
"If this is your first time contacting us or you've lost the ticket number, please ","ਜੇਕਰ ਤੁਸੀਂ ਪਹਿਲੀ ਵਾਰ ਸਾਡੇ ਨਾਲ ਸੰਪਰਕ ਕਰ ਰਹੇ ਹੋ ਜਾਂ ਤੁਸੀਂ ਟਿਕਟ ਨੰਬਰ ਗੁਆ ਦਿੱਤਾ ਹੈ, ਕ੍ਰਿਪਾ ","If you're ever lost and alone in the woods, hug a tree"
open a new ticket,ਇੱਕ ਨਵੀਂ ਟਿਕਟ ਖੋਲ੍ਹੋ,Open a new tab
"No, Poshan Tracker is available only for Android version",ਕੀ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਐਪਲ ਆਈ ਸਟੋਰ ਉੱਤੇ ਵੀ ਉਪਲਬਧ ਹੈ?,Is the search tracker available on the IP server?
What is the minimum requirement to install Poshan Tracker App in mobile?,ਕੋਈ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਕੇਵਲ ਐਂਡਰਾਇਡ ਸੰਸਕਰਣ ਲਈ ਉਪਲਬਧ ਨਹੀਂ ਹੈ|,No search tracker is available for an addrid conversion only.
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ਮੋਬਾਈਲ ਵਿੱਚ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਨੂੰ ਸਥਾਪਤ ਕਰਨ ਲਈ ਘੱਟੋ ਘੱਟ ਲੋੜ ਕੀ ਹੈ?,What minimum is needed to install the search tracker into the mobile?
Can App be accessed without internet?,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਸਿਰਫ ਐਂਡਰਾਇਡ ਫੋਨ ਵਿੱਚ ਐਂਡਰਾਇਡ ਵਰਜ਼ਨ 6.0 ਅਤੇ ਇਸਤੋਂ ਵੱਧ ਦੇ ਨਾਲ ਇੰਸਟੌਲ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ|,The search tracker can only be installed on the Android version 6.0 and with more than it can be installed.
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",ਕੀ ਐਪ ਨੂੰ ਇੰਟਰਨੈਟ ਤੋਂ ਬਿਨਾਂ ਚਲਾਇਆ ਜਾ ਸਕਦਾ ਹੈ?,Can You Play Up Without the Internet?
Who are the target userbase of Poshan Tracker App?,ਕੋਈ ਵੀ ਐਪ ਵੈਧ ਇੰਟਰਨੈਟ ਕਨੈਕਸ਼ਨ ਤੋਂ ਬਿਨਾਂ ਕੰਮ ਨਹੀਂ ਕਰਦੀ ਹੈ|,None of the Ap's working without a valid Internet connection.
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਦੇ ਟਾਰਗੇਟ ਯੂਜ਼ਰਬੇਸ ਕੌਣ ਹਨ?,Who are the target users of the search tractor?
How to Login in Poshan Tracker App?,"ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਦਾ ਅਰਥ ਆਂਗਣਵਾੜੀ ਵਰਕਰਾਂ ਲਈ ਹੈ, ਆਂਗਣਵਾੜੀ ਕੇਂਦਰਾਂ ਵਿੱਚ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਦਾਖਲ ਕਰਨ ਲਈ ਇਹ ਆਮ ਲੋਕਾਂ ਲਈ ਬਿਲਕੁਲ ਵਿਕਸਤ ਨਹੀਂ ਹੈ|","The search tracker is meant for fireworks, this is not intended for the general public to enter the form of users in fireplace centres."
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਲੋਗਿਨ ਕਿਵੇਂ ਕਰੀਏ?,How to Log In on the Tracker
What is  MPIN?,ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਬੇਨਤੀ ਕੀਤੀ ਜਾਂਦੀ ਹੈ ਕਿ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰ ਲੌਗਿਨ ਸਕ੍ਰੀਨ ਵਿੱਚ ਦਾਖਲ ਕਰਨ| ਇੱਕ ਓਟੀਪੀ ਤੁਹਾਡੇ ਰਜਿਸਟਰ ਕੀਤੇ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਭੇਜਿਆ ਜਾਏਗਾ ਜਿਸਦੀ ਤੁਹਾਨੂੰ ਆਪਣੀ ਐਮਪੀ ਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰਨ ਦੀ ਜ਼ਰੂਰਤ ਹੈ|,"You are asked to enter your mobile phone number into the login screen and send an outlet to your registered mobile phone number, where you need to set up your MPI."
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,ਐਮਪੀਆਈਐੱਨ ਕੀ ਹੈ?,What is the EMPIEAN?
How to set MPIN?,ਜੋ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਏਪੀਪੀ ਉੱਤੇ ਰਜਿਸਟਰ ਕਰਦੇ ਸਮੇਂ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਕੀਤੀ ਗਈ ਹੈ|,The shell factory that was set when registering the search tracker on Epiphany.
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",ਐਮਪੀਆਈਐੱਨ ਕਿਵੇਂ ਨਿਰਧਾਰਤ ਕਰੀਏ?,How Can I Make Real Friends?
When and how to use MPIN?,"ਐਮਪੀਆਈਐਨ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਰਕਰ ਦੁਆਰਾ ਉਸਦੇ ਮੋਬਾਇਲ ਨੰਬਰ ਦੇ ਵਿਰੁੱਧ ਇੱਕ ਓਟੀਪੀ ਦੀ ਬੇਨਤੀ ਕਰਕੇ ਨਿਰਧਾਰਤ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ| ਜੇ ਮੋਬਾਈਲ ਨੰਬਰ ਪਹਿਲਾਂ ਤੋਂ ਹੀ ਡੇਟਾਬੇਸ ਵਿੱਚ ਮੌਜੂਦ ਹੈ, ਤਾਂ ਸਬੰਧਤ ਆਂਗਣਵਾੜੀ ਵਿਅਕਤੀ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ 4 ਅੰਕਾਂ ਦਾ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੇਗਾ| ਓਟੀਪੀ ਵਿੱਚ ਦਾਖਲ ਹੋਣ ਤੋਂ ਬਾਅਦ, ਏਡਬਲਯੂਡਬਲਯੂ ਅਸਾਨੀ ਨਾਲ ਕਸਟਮਾਈਜ਼ਡ ਐਮਪੀਆਈਐਨ ਨਿਰਧਾਰਤ ਕਰ ਸਕਦਾ ਹੈ|","EMPIAEN-related firewall works can be determined by a request for an OTIP against a mobile phone number. If the mobile number is already in the database, the related OBJEC will obtain the type of mobile phone number and 4 numbers registered by the related Entities after entering the OTIP, the EBLI can easily set up custom EMPIEN."
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",ਐਮਪੀਆਈਐੱਨ ਕਦੋਂ ਅਤੇ ਕਿਵੇਂ ਵਰਤੀਏ?,When and how was EMPIEAN used?
How to Reset MPIN?,"ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਤੇ ਲੋਗਿਨ ਕਰਦੇ ਸਮੇਂ, ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਉਹਨਾਂ ਦੁਆਰਾ ਨਿਰਧਾਰਤ ਐਮਪੀਆਈ ਦਾਖਲ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ| ਇਹ ਐਮਪੀਆਈਐਨ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਚਲਾਉਣ ਅਤੇ ਲਾਭਪਾਤਰੀਆਂ ਦੇ ਫਾਰਮ ਵਿਚ ਜਾਣਕਾਰੀ ਦਾਖਲ ਕਰਨ ਲਈ ਇਕ ਪਾਸਕੋਡ ਵਜੋਂ ਕੰਮ ਕਰੇਗੀ |","While loading the search tracker AP and log in, you need to log in to EDBYBLU as a password to run the EMPIEN search tracker and enter the information into the user format."
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਿਵੇਂ ਕਰੀਏ?,How to Reset EMPIEN
In How many languages the Poshan Tracker App is available?,"ਐਮਪੀਆਈਐਨ ਕਿਸੇ ਵੀ ਏਡਬਲਯੂਡਬਲਯੂ / ਏਡਬਲਯੂਸੀ ਉਪਭੋਗਤਾ ਦੁਆਰਾ ਅਸਾਨੀ ਨਾਲ ਰੀਸੈਟ ਕੀਤਾ ਜਾ ਸਕਦਾ ਹੈ| ਤੁਹਾਨੂੰ ਭੁੱਲ ਗਏ ਐਮਪੀਆਈਐਨ ਤੇ ਕਲਿਕ ਕਰਨ ਦੀ ਜ਼ਰੂਰਤ ਹੈ, ਅਤੇ ਆਪਣਾ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਦਰਜ ਕਰੋ| ਤੁਸੀਂ ਆਪਣੇ ਰਜਿਸਟਰ ਕੀਤੇ ਹੋਏ ਮੋਬਾਈਲ ਨੰਬਰ ਤੇ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਓਟੀਪੀ ਪ੍ਰਾਪਤ ਕਰੋਗੇ ਅਤੇ ਤੁਸੀਂ ਆਪਣੀ ਐਮਪੀਆਈਐਨ ਨੂੰ ਰੀਸੈਟ ਕਰ ਸਕਦੇ ਹੋ|","EMPIEAN can easily be reset by using any ADBLYBLEU / ADBLUSE user. You need to click on the missing EMPIEAN, and enter your registered mobile number, you will get your registered cell number and get the quotes and you will be able to reset your EMPIEN."
Poshan Tracker App is available in 22 different languages,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਕਿੰਨੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ?,In what languages is the search truck available?
The various languages available are:,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ 22 ਵੱਖੋ ਵੱਖਰੀਆਂ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਉਪਲਬਧ ਹੈ|,Search tractors are available in 22 different languages.
English,ਉਪਲਬਧ ਵੱਖ ਵੱਖ ਭਾਸ਼ਾਵਾਂ ਹਨ:,The following languages are available:
Hindi,ਅੰਗਰੇਜ਼ੀ,English
Gujarati,ਹਿੰਦੀ,Hindi
Punjabi,ਗੁਜਰਾਤੀ,Gujarati
Marathi,ਪੰਜਾਬੀ,Punjabi
Bangla,ਮਰਾਠੀ,Marathi
Kannada,ਬੰਗਲਾ,Bangladesh
Tamil,ਕੰਨੜ,Angle
Telugu,ਤਾਮਿਲ,Tamil
Malyalam,ਤੇਲਗੂ,Telugu
Odia,ਮਲਿਆਲਮ,Malayalam
Assamese,ਓਡੀਆ,Audio
Nepali,ਅਸਾਮੀ,Asami
Konkani,Dogri,Dock
Sindhi,Konkani,Concan
Maithili,Bodo,Body
There are limited fields for data entry. Name is required to be entered in English language and for other fields numeric values are required. Most of the features are provided in check boxes or with drop down selection menu. Reports to be updated.,ਫਾਰਮ ਭਰਨ ਵੇਲੇ ਕਿੰਨੀ ਭਾਸ਼ਾਵਾਂ ਵਿੱਚ ਏਡਬਲਯੂਡਬਲਯੂ ਜਾਂ ਏਡਬਲਯੂਸੀ ਡੇਟਾ ਦਾਖਲ ਕਰ ਸਕਦਾ ਹੈ?,In what languages can redbbleu or redbulous data be included when formatting?
How many different forms are there in Poshan Tracker App?,ਏਡਬਲਯੂਡਬਲਯੂ ਸਿਰਫ ਅੰਗ੍ਰੇਜ਼ੀ ਭਾਸ਼ਾ ਵਿਚ ਫਾਰਮ ਭਰ ਸਕਦਾ ਹੈ|,Edbladebleu can only be translated into English.
There are 7 different types of forms for beneficiaries. This includes:,ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਐਪ ਵਿਚ ਕਿੰਨੇ ਵੱਖਰੇ ਰੂਪ ਹਨ?,How many different forms of communication are there in the tracker?
Lactating mother,ਲਾਭਪਾਤਰੀਆਂ ਲਈ ਇੱਥੇ 7 ਵੱਖ-ਵੱਖ ਕਿਸਮਾਂ ਦੇ ਫਾਰਮ ਹਨ. ਇਸ ਵਿੱਚ ਸ਼ਾਮਲ ਹਨ:,There are 7 different types of shapes for users here. They include:
Pregnant women,ਦੁੱਧ ਚੁੰਘਾਉਣ ਵਾਲੀ ਮਾਂ,Mothers who are breast - feeding
Child 0-6 Months,ਗਰਭਵਤੀ ਰਤਾਂ,Heavy sandstorm
Child 6 Months to 3 Years,ਬੱਚਾ 0-6 ਮਹੀਨੇ,Children 0-6 months
Child  3 Years to 6 Years,ਬੱਚਾ 6 ਮਹੀਨੇ ਤੋਂ 3 ਸਾਲ,Children from 6 months to 3 years of age
Adolescent Girls (11 Years-19 Years),ਬਾਲ 3 ਸਾਲ ਤੋਂ 6 ਸਾਲ,Child 3 From 6 Years to 6 Years
What information to be added in AWC forms?,ਕਿਸ਼ੋਰ ਲੜਕੀਆਂ (11 ਸਾਲ-19 ਸਾਲ),Kishor girls (11-19 years old)
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.",ਏਡਬਲਯੂਸੀ ਦੇ ਰੂਪਾਂ ਵਿਚ ਕਿਹੜੀ ਜਾਣਕਾਰੀ ਸ਼ਾਮਲ ਕੀਤੀ ਜਾਣੀ ਚਾਹੀਦੀ ਹੈ?,What information should be included in the form of red blood cells?
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,"ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਇੱਕ ਖਾਸ ਆਂਗਣਵਾੜੀ ਕੇਂਦਰ ਵਿੱਚ ਮੌਜੂਦ ਬੁਨਿਆਦੀ ਢਾਂਚੇ ਨਾਲ ਸਬੰਧਤ ਵੇਰਵੇ ਦਰਜ ਕਰਨ ਦੀ ਲੋੜ ਹੁੰਦੀ ਹੈ| ਇਸ ਵਿੱਚ ਢਾਂਚਾ , ਮੁੱਢਲੀਆਂ ਸਹੂਲਤਾਂ, ਸਹੂਲਤਾਂ, ਰੋਗਾਣੂ-ਮੁਕਤ, ਪੀਣ ਵਾਲੇ ਪਾਣੀ ਆਦਿ ਸ਼ਾਮਲ ਹਨ|","EdBloodBluu needs to be given a level of detail related to the current base in a specific fireplace. It includes buildings, primary facilities, facilities, sanitation, drinking water, and so on."
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,ਜੇ ਉਹ ਆਪਣੇ ਮੋਬਾਈਲ ਨੰਬਰਾਂ ਦੁਆਰਾ ਰਜਿਸਟਰ ਨਹੀਂ ਕਰ ਪਾਉਂਦੇ ਤਾਂ ਏਡਬਲਯੂਡਬਲਯੂ ਐਪ ਤੇ ਕਿਵੇਂ ਸਾਈਨ ਅਪ ਕਰ ਸਕਦਾ ਹੈ?,"If they don’t register by their cell numbers, how can they sign the E - mail?"
Their mobile number is not present in the data provided by the states to the MoWCD,ਜੇ ਏਡਬਲਯੂਡਬਲਯੂ ਆਪਣੇ ਆਪ ਨੂੰ ਰਜਿਸਟਰ ਕਰਨ ਵਿਚ ਅਸਫਲ ਰਿਹਾ ਹੈ ਤਾਂ ਇਸ ਦੀਆਂ 2 ਸੰਭਾਵਨਾਵਾਂ ਹੋ ਸਕਦੀਆਂ ਹਨ: ,"If redbbleu is unable to register itself, there may be 2 possibilities for it:"
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,ਉਹਨਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਰਾਜਾਂ ਦੁਆਰਾ ਮੁਹੱਈਆ ਕਰਵਾਏ ਗਏ ਅੰਕੜਿਆਂ ਵਿਚ ਮੌਜੂਦ ਨਹੀਂ ਹੈ ਐਮਓਡਬਲਯੂਸੀਡੀ|,Their mobile number is not available in the statistics prepared by the countries of EMCDDA.
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,ਉਹ ਪ੍ਰਣਾਲੀ ਵਿਚ ਨਵੇਂ ਸ਼ਾਮਲ ਕੀਤੇ ਗਏ ਹਨ ਅਤੇ ਉਨ੍ਹਾਂ ਦਾ ਮੋਬਾਈਲ ਨੰਬਰ ਅਜੇ ਤੱਕ ਐਮਓਡਬਲਯੂਸੀਡੀ ਨੂੰ ਰਾਜ ਸੈੱਲ ਦੁਆਰਾ ਪ੍ਰਦਾਨ ਨਹੀਂ ਕੀਤਾ ਗਿਆ ਹੈ|,They're newly added to the plant and their mobile number has not yet been provided to the EMCDDA by the Kingdom Hall.
How can one access Poshan Tracker Dashboard?,ਉਪਰੋਕਤ ਦੋਵੇਂ ਮਾਮਲਿਆਂ ਵਿੱਚ ਰਾਜ ਦੇ ਨੋਡਲ ਅਫਸਰਾਂ ਨੂੰ ਏਡਬਲਯੂਡਬਲਯੂ ਨੂੰ ਸ਼ਾਮਲ / ਸੰਪਾਦਿਤ / ਕਿਰਿਆਸ਼ੀਲ / ਅਯੋਗ ਕਰਨ ਦਾ ਅਧਿਕਾਰ ਦਿੱਤਾ ਗਿਆ ਹੈ|,"In both of the above cases, nodial officials are allowed to add / edit/required/offset to the ADBLUE."
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,ਇੱਕ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਕਿਵੇਂ ਪਹੁੰਚ ਸਕਦਾ ਹੈ?,How can a follow-up tracker reach the desktop?
https://poshantracker.in/admin,ਡੈਸ਼ਬੋਰਡ ਤੇ ਸਾਈਨ ਕਰਕੇ ਪੋਸ਼ਣ ਟ੍ਰੈਕਰ ਡੈਸ਼ਬੋਰਡ ਤੱਕ ਪਹੁੰਚ ਕੀਤੀ ਜਾ ਸਕਦੀ ਹੈ. ,The clipboard and signature can be accessed to the clipboard.
