en,kn
You hereby acknowledge that the collection of your information as described in Clause 1 of this Privacy Policy is necessary to fulfil the purposes specified in Clause 2 and 3 of this Privacy Policy.,ಈ ಗೌಪ್ಯತೆ ನೀತಿಯ ವಿಭಾಗ 1 ರಲ್ಲಿ ವಿವರಿಸಲಾದ ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸಂಗ್ರಹವು ಈ ಗೌಪ್ಯತಾ ನೀತಿಯ ವಿಭಾಗಗಳು 2 ಮತ್ತು 3 ರಲ್ಲಿ ನಿರ್ದಿಷ್ಟಪಡಿಸಿದ ಉದ್ದೇಶಗಳನ್ನು ಪೂರೈಸಲು ಅವಶ್ಯಕವಾಗಿದೆ ಎಂದು ನೀವು ಈ ಮೂಲಕ ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೀರಿ.
1. INFORMATION WE COLLECT,1. ನಾವು ಸಂಗ್ರಹಿಸುವ ಮಾಹಿತಿ
1.1. Information you provide to us.,1.1. ನೀವು ನಮಗೆ ನೀಡುವ ಮಾಹಿತಿ.
"We collect the content and other information that you provide when you use our Services, including when you sign up for an account. This can include- (i) Name (ii) Mobile number (iii) Date of Birth (iv)Gender (v) Name of Child (vi) Aadhaar Number (vii) Address","ನೀವು ಖಾತೆಯನ್ನು ತೆರೆಯುವುದನ್ನು ಸೇರಿ, ನೀವು ನಮ್ಮ ಸೇವೆಗಳನ್ನು ಬಳಸಿದಾಗ ನಾವು ಈ ಮಾಹಿತಿಗಳನ್ನು ಸಂಗ್ರಹಿಸುತ್ತೇವೆ. ಇದು- (i) ಹೆಸರು (ii) ಮೊಬೈಲ್ ಸಂಖ್ಯೆ (iii) ಜನ್ಮ ದಿನಾಂಕ (iv) ಲಿಂಗ (v) ಮಗುವಿನ ಹೆಸರು (vi) ಆಧಾರ್ ಸಂಖ್ಯೆ (vii) ವಿಳಾಸವನ್ನು ಒಳಗೊಂಡಿರಬಹುದು"
"If you choose not to provide data which is required to provide you with a product or feature, you cannot use that product or feature. You may, however, choose not to share personal data where providing the data is optional.","ನೀವು ಒಂದು ಉತ್ಪನ್ನ ಅಥವಾ ವೈಶಿಷ್ಟ್ಯಗಳಿಗೆ ನಿಮ್ಮ ಡೇಟಾವನ್ನು ಕೊಡಲು ಬಯಸದೆ ಇದ್ದಲ್ಲಿ, ನೀವು ಆ ಉತ್ಪನ್ನ ಅಥವಾ ವೈಶಿಷ್ಟ್ಯವನ್ನು ಬಳಸಲಾಗುವುದಿಲ್ಲ. ಡೇಟಾವನ್ನೂ ನೀಡುವುದು ಆಯ್ಕೆ ಆಗಿರುವುದರಿಂದ ನೀವು ನಿಮ್ಮ ವೈಯುಕ್ತಿಕ ಡೇಟಾವನ್ನು ಹಂಚದೆ ಇರುವ ಆಯ್ಕೆ ಆರಿಸಬಹುದು."
1.2. Information from use of services.,1.2. ಸೇವೆಗಳ ಬಳಕೆಯಿಂದ ಬರುವ ಮಾಹಿತಿ.
"We log usage data when you visit or otherwise use our Services, including our sites, app and platform technology.","ನಮ್ಮ ಸೈಟ್, ಅಪ್ಲಿಕೇಶನ್ ಮತ್ತು ವೇದಿಕೆ ತಂತ್ರಜ್ಞಾನ ಸೇರಿದಂತೆ ನೀವು ನಮ್ಮ ಸೇವೆಗಳನ್ನು ಬಳಸಿದಾಗ ಅಥವಾ ನಮ್ಮ ವೇದಿಕೆಗೆ ಭೇಟಿ ನೀಡಿದಾಗ ನಾವು ಬಳಸುವ ಡೇಟಾವನ್ನು ಲಾಗ್ ಮಾಡುತ್ತೇವೆ."
"We may use various technologies to collect and store information, including cookies, local storage, such as browser web storage or application data caches, databases, and server logs to collect and use your information in certain cases.","ಕೆಲವು ಸಂದರ್ಭಗಳಲ್ಲಿ ಕುಕೀಸ್, ಲೋಕಲ್ ಸ್ಟೋರೇಜ್( ಬ್ರೌಸರ್ ವೆಬ್ ಸ್ಟೋರೇಜ್ ಅಥವಾ ಅಪ್ಲಿಕೇಶನ್ ಡೇಟಾ ಕ್ಯಾಚೆಗಳು) ಡೇಟಾ ಬೇಸ್ ಮತ್ತು ಸರ್ವರ್ ಲಾಗ್ ಗಳನ್ನು ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಪಡೆಯಲು ಮತ್ತು ಸಂಗ್ರಹಿಸಲು ನಾವು ವಿವಿಧ ತಂತ್ರಜ್ಞಾನಗಳನ್ನು ಬಳಸಬಹುದು."
1.3. Information from third parties.,1.3. ಥರ್ಡ್-ಪಾರ್ಟಿ ಗಳಿಂದ ಮಾಹಿತಿ.
"Our System provides API to Third – Party Sites that may collect your personal information. Poshan Tracker is not in any manner responsible for the security of such information or their privacy practices or content of those Third – Party Sites. Additionally, you may also encounter “cookies” or other similar devices on certain pages of the Third – Party Sites and it is hereby clarified by Poshan Tracker that the System does not control the use of cookies by these Third – Party Sites. These third-party service providers and Third-Party Sites may have their own privacy policies governing the storage and retention of your information that you may be subject to. This Privacy Policy does not govern any information provided to, stored on, or used by these third-party providers and Third-Party Sites. We recommend that when you enter a Third-Party Site, you review the Third Party Site’s privacy policy as it relates to safeguarding of your information. You agree and acknowledge that Poshan Tracker will not be liable for the information published in search results or by any Third-Party Sites.","ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಸಂಗ್ರಹಿಸಬಹುದಾದ ಥರ್ಡ್ ಪಾರ್ಟಿ ಸೈಟ್‌ಗಳಿಗೆ ನಮ್ಮ ಸಿಸ್ಟಂ API ಒದಗಿಸುತ್ತದೆ. ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅಂತಹ ಮಾಹಿತಿಯ ಸುರಕ್ಷತೆ ಅಥವಾ ಅವರ ಗೌಪ್ಯತೆ ಅಭ್ಯಾಸಗಳು ಅಥವಾ ಥರ್ಡ್ ಪಾರ್ಟಿ ಸೈಟ್‌ಗಳ ಪರಿವಿಡಿಗೆ ಯಾವುದೇ ರೀತಿಯಲ್ಲಿ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ. ಹೆಚ್ಚುವರಿಯಾಗಿ, ನೀವು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್‌ಗಳ ಕೆಲವು ಪುಟಗಳಲ್ಲಿ ""ಕುಕೀಸ್"" ಅಥವಾ ಇತರ ರೀತಿಯ ಪರಿಕರಗಳನ್ನು ಸಹ ಎದುರಿಸಬಹುದು ಮತ್ತು ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್‌ಗಳಿಂದ ಕುಕೀಗಳ ಬಳಕೆಯನ್ನು ಸಿಸ್ಟಮ್ ನಿಯಂತ್ರಿಸುವುದಿಲ್ಲ ಎಂದು ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಸ್ಪಷ್ಟಪಡಿಸುತ್ತದೆ. ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೇವಾ ಪೂರೈಕೆದಾರರು ಮತ್ತು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್‌ಗಳು ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸಂಗ್ರಹಣೆ ಮತ್ತು ಧಾರಣವನ್ನು ನಿಯಂತ್ರಿಸುವ ತಮ್ಮದೇ ಆದ ಗೌಪ್ಯತೆ ನೀತಿಗಳನ್ನು ಹೊಂದಿರಬಹುದು, ಅದಕ್ಕೆ ನೀವು ಒಳಪಟ್ಟಿರಬಹುದು. ಈ ಗೌಪ್ಯತಾ ನೀತಿಯು ಈ ಥರ್ಡ್-ಪಾರ್ಟಿ ಪೂರೈಕೆದಾರರು ಮತ್ತು ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್‌ಗಳು ಒದಗಿಸಿದ, ಸಂಗ್ರಹಿಸಿದ ಅಥವಾ ಬಳಸಿದ ಯಾವುದೇ ಮಾಹಿತಿಯನ್ನು ನಿಯಂತ್ರಿಸುವುದಿಲ್ಲ. ನಿಮ್ಮ ಮಾಹಿತಿಯ ಸುರಕ್ಷತೆಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ಮೂರನೇ ವ್ಯಕ್ತಿಯ ಸೈಟ್ ಅನ್ನು ನೀವು ಪ್ರವೇಶಿಸಿದಾಗ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್‌ನ ಗೌಪ್ಯತೆ ನೀತಿಯನ್ನು ಪರಿಶೀಲಿಸಲು ನಾವು ಶಿಫಾರಸು ಮಾಡುತ್ತೇವೆ. ಹುಡುಕಾಟ ಫಲಿತಾಂಶಗಳಲ್ಲಿ ಅಥವಾ ಯಾವುದೇ ಥರ್ಡ್-ಪಾರ್ಟಿ ಸೈಟ್‌ಗಳಲ್ಲಿ ಪ್ರಕಟಿಸಲಾದ ಮಾಹಿತಿಗೆ ಪೋಶನ್ ಟ್ರ್ಯಾಕರ್ ಜವಾಬ್ದಾರನಾಗಿರುವುದಿಲ್ಲ ಎಂದು ನೀವು ಒಪ್ಪುತ್ತೀರಿ ಮತ್ತು ಅಂಗೀಕರಿಸಿದ್ದೀರಿ."
2. HOW WE USE PERSONAL INFORMATION,2. ವೈಯುಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಾವು ಹೇಗೆ ಬಳಸುತ್ತೇವೆ
We use the information we collect from all our services for the following purposes:,ನಾವು ನಮ್ಮ ಸೇವೆಗಳಿಂದ ಪಡೆದ ಎಲ್ಲಾ ಮಾಹಿತಿಗಳನ್ನು ಕೆಳಕಂಡ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಬಳಸುತ್ತೇವೆ:
2.1. Deliver our services.,2.1. ನಮ್ಮ ಸೇವೆಗಳ ವಿತರಣೆ.
"The information collected under Clause 1, shall be used for the purpose of facilitating the health of the beneficiaries.",ಸೆಕ್ಷನ್ 1 ರ ಅಡಿಯಲ್ಲಿ ಸಂಗ್ರಹಿಸಲಾದ ಮಾಹಿತಿಯನ್ನು ಫಲಾನುಭವಿಗಳ ಆರೋಗ್ಯವನ್ನು ಸುಗಮಗೊಳಿಸುವ ಉದ್ದೇಶಕ್ಕಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ.
"We provide our products, which includes updating, securing, and troubleshooting the information/data/ materials and contents of the System, as well as providing support.","ಸಿಸ್ಟಮ್ ಮಾಹಿತಿ/ಡೇಟಾ/ವಿಷಯ ಮತ್ತು ಸಾಮಗ್ರಿಗಳನ್ನು ನವೀಕರಿಸುವುದು, ಸುರಕ್ಷಿತಗೊಳಿಸುವುದು ಮತ್ತು ದೋಷನಿವಾರಣೆ ಮಾಡುವುದು ಸೇರಿದಂತೆ ಬೆಂಬಲ ನೀಡುವುದರ ಜೊತೆಗೆ ನಮ್ಮ ಉತ್ಪನ್ನಗಳನ್ನು ನಾವು ಒದಗಿಸುತ್ತೇವೆ."
"When you register on Poshan Tracker, the Mobile number with which you registered, will be used to locate your record from the database. These can also be used to assess the health status as recorded in the Poshan Tracker system.","ನೀವು ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ನಲ್ಲಿ ನೋಂದಾಯಿಸಿದಾಗ, ನಿಮ್ಮ ನೊಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಡೇಟಾಬೇಸ್ ನಲ್ಲಿ ಇರುವ ನಿಮ್ಮ ದಾಖಲೆಯನ್ನು ಹುಡುಕಲು ಉಪಯೋಗಿಸಲಾಗುತ್ತದೆ. ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ನಲ್ಲಿ ದಾಖಲಾದ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಪಡೆಯಲು ಕೂಡ ಇವುಗಳನ್ನು ಬಳಸಲಾಗುವುದು."
2.2. Communicate with you.,2.2. ನಿಮ್ಮೊಂದಿಗೆ ಸಂವಹನ ನಡೆಸುವುದು.
"We also send SMSs on your registered mobile number to alert you about registration, we also use your information to respond to you when you contact us and to investigate, respond to and resolve complaints and for Service issues (e.g. bugs).","ನೋಂದಣಿಯ ಕುರಿತು ನಿಮಗೆ ಸೂಚನೆ ನೀಡಲು ನಾವು ನಿಮ್ಮ ನೋಂದಾಯಿತ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಗೆ ಎಸ್ ಎಂ ಎಸ್ ಕಳುಹಿಸುತ್ತೇವೆ, ನೀವು ನಮ್ಮನ್ನು ಸಂಪರ್ಕಿಸಿದಾಗ ನಿಮಗೆ ಪ್ರತಿಕ್ರಿಯಿಸಲು ನಾವು ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಬಳಸುತ್ತೇವೆ ಮತ್ತು ಸೇವೆಯ ಸಮಸ್ಯೆಗಳಿಗೆ (ಉದಾಹರಣೆಗೆ ದೋಷಗಳು) ತನಿಖೆ ಮಾಡಲು, ಪ್ರತಿಕ್ರಿಯಿಸಲು ಮತ್ತು ದೂರುಗಳನ್ನು ಪರಿಹರಿಸಲು ನಾವು ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಬಳಸುತ್ತೇವೆ."
2.3. Verification.,2.3. ಪರಿಶೀಲನೆ.
"We use the information we have, to help verify accounts. The records may be used for verification of health status for the purposes of Poshan Tracker control and response.",ನಾವು ನಮ್ಮ ಬಳಿ ಇರುವ ಮಾಹಿತಿಯನ್ನು ಖಾತೆಗಳನ್ನು ಪರಿಶೀಲಿಸಲು ಬಳಸುತ್ತೇವೆ. ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ನಿಯಂತ್ರಣ ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆಯ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಆರೋಗ್ಯ ಸ್ಥಿತಿಯನ್ನು ಪರಿಶೀಲಿಸಲು ದಾಖಲೆಗಳನ್ನು ಬಳಸಬಹುದು.
2.4. Security and Audit.,2.4. ಸುರಕ್ಷತೆ ಮತ್ತು ಆಡಿಟ್.
"We use your data (including your communications) for security purposes or to prevent or investigate possible fraud or other violations of our Terms of Service and/or attempts to harm our Members, Visitors or others.","ಭದ್ರತಾ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಅಥವಾ ಸಂಭಾವ್ಯ ವಂಚನೆ ಅಥವಾ ನಮ್ಮ ಸೇವಾ ನಿಯಮಗಳ ಇತರ ಉಲ್ಲಂಘನೆಗಳನ್ನು ಮತ್ತು/ಅಥವಾ ನಮ್ಮ ಸದಸ್ಯರು, ಸಂದರ್ಶಕರು ಅಥವಾ ಇತರರಿಗೆ ಹಾನಿಯನ್ನು ತಡೆಯುವ ಅಥವಾ ತನಿಖೆ ಮಾಡುವ ಪ್ರಯತ್ನಗಳಿಗಾಗಿ ನಾವು ನಿಮ್ಮ ಡೇಟಾವನ್ನು (ನಿಮ್ಮ ಸಂವಹನಗಳನ್ನು ಒಳಗೊಂಡಂತೆ) ಬಳಸುತ್ತೇವೆ."
"The Poshan Tracker system is regularly audited by auditors engaged by MWCD, for security and scalability of the system. The records may be used for such audits.","ಪೋಷನ್ ಟ್ರಾಕರ್ ಸಿಸ್ಟಮ್ ಅನ್ನು, ಸಿಸ್ಟಮ್ ನ ಸುರಕ್ಷತೆ ಮತ್ತು ಸ್ಕೇಲೇಬಿಲಿಟಿಗಾಗಿ ಎಂಡಬ್ಲ್ಯೂ ಸಿಡಿ ಇಂದ ತೊಡಗಿಸಲ್ಪಟ್ಟ ಆಡಿಟರ್ ಗಳಿಂದ ನಿಯಮಿತವಾಗಿ ಆಡಿಟ್ ಮಾಡಲಾಗುತ್ತದೆ. ದಾಖಲೆಗಳನ್ನು ಅಂತಹ ಆಡಿಟ್ ಗಳಿಗೆ ಬಳಸಬಹುದು."
2.5. Research and operational activities.,2.5. ಸಂಶೋಧನೆ ಮತ್ತು ಕಾರ್ಯಾಚರಣೆಯ ಚಟುವಟಿಕೆಗಳು.
"We also use the data to operate our services, which includes analyzing our performance, meeting our legal obligations, developing our workforce, and doing research. We may also use the information to perform certain necessary operation for improvement of the System and for all acts incidental or ancillary to the provision of the System and for developing and providing new technologies and services.","ನಮ್ಮ ಕಾರ್ಯಕ್ಷಮತೆಯನ್ನು ವಿಶ್ಲೇಷಿಸಲು, ನಮ್ಮ ಕಾನೂನು ಬಾಧ್ಯತೆಗಳನ್ನು ಪೂರೈಸಲು, ನಮ್ಮ ಕಾರ್ಯಪಡೆಯನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಲು ಮತ್ತು ಸಂಶೋಧನೆ ನಡೆಸಲು ಸೇರಿದಂತೆ ನಮ್ಮ ಸೇವೆಗಳನ್ನು ನಡೆಸಲು ನಾವು ಡೇಟಾವನ್ನು ಬಳಸುತ್ತೇವೆ. ಸಿಸ್ಟಮ್ ಅನ್ನು ಸುಧಾರಿಸಲು ಮತ್ತು ಸಿಸ್ಟಮಿನ ನಿಬಂಧನೆಗೆ ಸಂಬಂಧಿಸಿದ ಅಥವಾ ಪೂರಕವಾದ ಎಲ್ಲಾ ಕ್ರಿಯೆಗಳಿಗೆ ಅಗತ್ಯವಾದ ಕೆಲವು ಕಾರ್ಯಾಚರಣೆಗಳನ್ನು ನಿರ್ವಹಿಸಲು ಮತ್ತು ಹೊಸ ತಂತ್ರಜ್ಞಾನಗಳು ಮತ್ತು ಸೇವೆಗಳನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸಲು ಮತ್ತು ಒದಗಿಸಲು ನಾವು ಮಾಹಿತಿಯನ್ನು ಬಳಸಬಹುದು."
2.6. Surveys and Feedbacks.,2.6. ಸಮೀಕ್ಷೆಗಳು ಮತ್ತು ಪ್ರತಿಕ್ರಿಯೆಗಳು.
"The System also takes feedback about system performance and experience. Information on name, mobile number, date of registration and health status may be used for these purposes","ಸಿಸ್ಟಮ್ ಕಾರ್ಯಕ್ಷಮತೆ ಮತ್ತು ಅನುಭವದ ಬಗ್ಗೆ ಪ್ರತಿಕ್ರಿಯೆಯನ್ನು ಸಹ ಸಿಸ್ಟಮ್ ತೆಗೆದುಕೊಳ್ಳುತ್ತದೆ. ಹೆಸರು, ಮೊಬೈಲ್ ಸಂಖ್ಯೆ, ನೋಂದಣಿ ದಿನಾಂಕ ಮತ್ತು ಆರೋಗ್ಯ ಸ್ಥಿತಿ ಮಾಹಿತಿಯನ್ನು ಈ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಬಳಸಬಹುದು"
3. SHARING OF INFORMATION,3. ಮಾಹಿತಿಯನ್ನು ಹಂಚಿಕೊಳ್ಳುವುದು
3.1. Tracking health progress.,3.1. ಆರೋಗ್ಯ ಪ್ರಗತಿಯನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡುವುದು.
"The personal information collected from you at the time of registration under Clause 1 above, will be stored securely and only be used by the Government of India or State Govts for the purpose of tracking health progress and status, generating reports, heat maps and other statistical visualizations for the purpose of the management of Poshan Tracker in the country,. Your Reference ID (Mobile number) will only be co-related with your personal information in order to communicate to you through SMS as per the clause 1 above.","ವಿಭಾಗ 1 ರ ಅಡಿಯಲ್ಲಿ ನೋಂದಣಿ ಸಮಯದಲ್ಲಿ ನಿಮ್ಮಿಂದ ಸಂಗ್ರಹಿಸಲಾದ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಸಂಗ್ರಹಿಸಲಾಗುತ್ತದೆ ಮತ್ತು ಭಾರತ ಸರ್ಕಾರ ಅಥವಾ ರಾಜ್ಯ ಸರ್ಕಾರವು ಆರೋಗ್ಯ ಪ್ರಗತಿ ಮತ್ತು ಸ್ಥಿತಿ ಟ್ರ್ಯಾಕಿಂಗ್, ವರದಿಗಳ ತಯಾರಿಕೆ, ಶಾಖ ನಕ್ಷೆಗಳು ಮತ್ತು ಇತರ ಅಂಕಿ ಅಂಶಗಳ ಉದ್ದೇಶಗಳಿಗಾಗಿ ಮಾತ್ರ ಬಳಸುತ್ತದೆ ಮತ್ತು ಪೋಷನ್ ಟ್ರ್ಯಾಕರ್ ಅನ್ನು ನಿರ್ವಹಿಸುವ ಉದ್ದೇಶಕ್ಕಾಗಿ. ಮೇಲಿನ ಷರತ್ತು 1 ರ ಪ್ರಕಾರ ನಿಮ್ಮೊಂದಿಗೆ SMS ಮೂಲಕ ಸಂವಹನ ನಡೆಸುವ ಉದ್ದೇಶದ ಸಲುವಾಗಿ ನಿಮ್ಮ ಉಲ್ಲೇಖ ID (ಮೊಬೈಲ್ ಸಂಖ್ಯೆ) ನಿಮ್ಮ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯೊಂದಿಗೆ ಮಾತ್ರ ಸಹ-ಸಂಬಂಧಿತವಾಗಿರುತ್ತದೆ."
"We do not disclose or transfer your information to any other third parties without your consent, unless such disclosure or transfer is:","ನಿಮ್ಮ ಸಮ್ಮತಿಯಿಲ್ಲದೆ ನಾವು ಯಾವುದೇ ಇತರ ಮೂರನೇ ವ್ಯಕ್ತಿಗೆ ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಬಹಿರಂಗಪಡಿಸುವುದಿಲ್ಲ ಅಥವಾ ವರ್ಗಾಯಿಸುವುದಿಲ್ಲ, ಅಂತಹ ಬಹಿರಂಗಪಡಿಸುವಿಕೆ ಅಥವಾ ವರ್ಗಾವಣೆ ಕೆಳಗಿನ ಸಂದರ್ಭಗಳಲ್ಲಿ ಅನ್ವಯವಾಗುವುದಿಲ್ಲ:"
1. Required in order to comply with any applicable law or court order or direction; or,1. ನ್ಯಾಯಾಲಯದ ಆದೇಶ ಅಥವಾ ಯಾವುದೇ ಅನ್ವಯವಾಗುವ ಕಾನೂನಿನ ನಿರ್ದೇಶನವನ್ನು ಅನುಸರಿಸಲು ಅವಶ್ಯಕ; ಅಥವಾ
"2. Requested by any appropriate Governmental agency as per applicable law for the purpose of, inter alia, verification of identity, prevention, detection, investigation, prosecution or punishment of any offences or incidents.","2. ಯಾವುದೇ ಸೂಕ್ತ ಸರ್ಕಾರಿ ಏಜೆನ್ಸಿಯಿಂದ, ಗುರುತಿನ ಪರಿಶೀಲನೆ, ಅಥವಾ ಯಾವುದೇ ಅಪರಾಧಗಳು ಅಥವಾ ಘಟನೆಗಳ ತಡೆಗಟ್ಟುವಿಕೆ, ಪತ್ತೆ, ತನಿಖೆ, ಕಾನೂನು ಕ್ರಮ ಶಿಕ್ಷೆಗೆ ಅನ್ವಯಿಸುವ ಕಾನೂನಿನ ಅನುಸಾರವಾಗಿ ವಿನಂತಿಸಲಾಗಿದೆ."
3.2. Legal Disclosures.,3.2. ಕಾನೂನು ಬಹಿರಂಗಪಡಿಸುವಿಕೆಗಳು.
"We may access, preserve and share your information in response to a legal request, subpoena, or other legal process or if we have a good faith belief that disclosure is reasonably necessary to (1) investigate, prevent or take action regarding fraud or  illegal activities or to assist government enforcement agencies; (2) enforce our agreements with you; (3) investigate and defend ourselves against any third-party claims or allegations; (4) protect the security or integrity of our Services (such as by sharing with companies facing similar threats); or (5) exercise or protect the rights and safety of any person.","ಕಾನೂನು ವಿನಂತಿ, ಸಬ್‌ಪೋನಾ ಅಥವಾ ಇತರ ಕಾನೂನು ಪ್ರಕ್ರಿಯೆಗೆ ಪ್ರತಿಕ್ರಿಯೆಯಾಗಿ ಅಥವಾ (1) ವಂಚನೆ ಅಥವಾ ಕಾನೂನುಬಾಹಿರ ಚಟುವಟಿಕೆಗಳಿಗೆ ಸಂಬಂಧಿಸಿದಂತೆ ತನಿಖೆ ಮಾಡಲು ಅಥವಾ ಸರ್ಕಾರಿ ಜಾರಿ ಸಂಸ್ಥೆಗಳಿಗೆ ಸಹಾಯ ಮಾಡಲು; (2) ನಿಮ್ಮೊಂದಿಗೆ ನಮ್ಮ ಒಪ್ಪಂದಗಳನ್ನು ಜಾರಿಗೊಳಿಸಲು; (3) ಯಾವುದೇ ಮೂರನೇ ವ್ಯಕ್ತಿಯ ಹಕ್ಕುಗಳು ಅಥವಾ ಆರೋಪಗಳನ್ನು ತನಿಖೆ ಮಾಡಲು ಮತ್ತು ನಮ್ಮನ್ನು ನಾವು ರಕ್ಷಿಸಿಕೊಳ್ಳಲು; (4) ನಮ್ಮ ಸೇವೆಗಳ ಭದ್ರತೆ ಅಥವಾ ಸಮಗ್ರತೆಯನ್ನು ರಕ್ಷಿಸಿಕೊಳ್ಳಲು (ಉದಾಹರಣೆಗೆ ಇದೇ ರೀತಿಯ ಬೆದರಿಕೆಗಳನ್ನು ಎದುರಿಸುತ್ತಿರುವ ಕಂಪನಿಗಳೊಂದಿಗೆ ಹಂಚಿಕೊಳ್ಳುವುದು); ಅಥವಾ (5) ಯಾವುದೇ ವ್ಯಕ್ತಿಯ ಹಕ್ಕುಗಳು ಮತ್ತು ಸುರಕ್ಷತೆಯನ್ನು ಚಲಾಯಿಸಲು ಅಥವಾ ರಕ್ಷಿಸಲು ನಾವು ನಿಮ್ಮ ಮಾಹಿತಿಯನ್ನು ಪಡೆಯಬಹುದು, ಸಂರಕ್ಷಿಸಬಹುದು ಮತ್ತು ಹಂಚಿಕೊಳ್ಳಬಹುದು."
4. RETENTION,4. ಧಾರಣೆ
"All personal information collected from you under Clause 1 at the time of registration will be retained for as long as your record remains in existence and if any medical or administrative interventions have been commenced under Clause 2, subject to Clause4(b) below, for such period thereafter as is required for such interventions to be completed.","ನೋಂದಣಿ ಸಮಯದಲ್ಲಿ ಸೆಕ್ಷನ್ 1 ರ ಅಡಿಯಲ್ಲಿ ನಿಮ್ಮಿಂದ ಸಂಗ್ರಹಿಸಲಾದ ಎಲ್ಲಾ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ನಿಮ್ಮ ದಾಖಲೆಯು ಅಸ್ತಿತ್ವದಲ್ಲಿ ಇರುವವರೆಗೆ ಇರಿಸಲಾಗುತ್ತದೆ ಮತ್ತು ಯಾವುದೇ ವೈದ್ಯಕೀಯ ಅಥವಾ ಆಡಳಿತಾತ್ಮಕ ಹಸ್ತಕ್ಷೇಪವನ್ನು ಸೆಕ್ಷನ್ 2, ಸೆಕ್ಷನ್ 4(ಬಿ) ಅಡಿಯಲ್ಲಿ ಪ್ರಾರಂಭಿಸಿದರೆ, ಮಧ್ಯಸ್ಥಿಕೆಯನ್ನು ಕೈಗೊಳ್ಳುವ ಅವಧಿಯ ಒಳಗೆ ಅಂತಹವುಗಳಿಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ."
"All personal information collected under Clauses 1 will be retained on the application Server, to the extent that such information relates to people who have been registered for the event.",ಷರತ್ತು 1 ರ ಅಡಿಯಲ್ಲಿ ಸಂಗ್ರಹಿಸಲಾದ ಎಲ್ಲಾ ವೈಯಕ್ತಿಕ ಮಾಹಿತಿಯನ್ನು ಈವೆಂಟ್‌ಗಾಗಿ ನೋಂದಾಯಿಸಿದ ವ್ಯಕ್ತಿಗಳಿಗೆ ಸಂಬಂಧಿಸಿದ ಮಾಹಿತಿ ಆಗಿದ್ದು ಅವನ್ನು ಅಪ್ಲಿಕೇಶನ್ ಸರ್ವರ್‌ನಲ್ಲಿ ಇರಿಸಲಾಗುತ್ತದೆ.
