en,ml
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"AWW / AWC- കൾ നോഡൽ ലെവൽ ഉദ്യോഗസ്ഥർക്ക് മാത്രമേ ചേർക്കാൻ കഴിയൂ. ശ്രേണിയിൽ മുകളിലുള്ള റംഗിലുള്ള ആരെങ്കിലും. ദേശീയ തലത്തിലുള്ള ഉപയോക്താവിന് സംസ്ഥാന, ജില്ല, പ്രോജക്റ്റ്, മേഖല തലത്തിലുള്ള ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും. സംസ്ഥാനതലത്തിലുള്ള ഉപയോക്താവിന് ജില്ല, പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താക്കളെ സൃഷ്ടിക്കാൻ കഴിയും, ജില്ലാതല ഉപയോക്താവിന് പ്രോജക്റ്റ്, സെക്ടർ ലെവൽ ഉപയോക്താവിനെ സൃഷ്ടിക്കാൻ കഴിയും, പ്രോജക്റ്റ് ലെവൽ ഉപയോക്താവിന് സെക്ടർ ലെവൽ യൂസർ.ക സൃഷ്ടിക്കാൻ കഴിയും."
How many different types of reports can be generated over Poshan Tracker Dashboard?,പോഷൻ ട്രാക്കർ ഡാഷ്‌ബോർഡിൽ എത്ര വ്യത്യസ്ത തരം റിപ്പോർട്ടുകൾ സൃഷ്ടിക്കാൻ കഴിയും?
There are various reports that can be generated from,ഇതിൽ നിന്ന് സൃഷ്ടിക്കാൻ കഴിയുന്ന വിവിധ റിപ്പോർട്ടുകൾ ഉണ്ട്
General Reports:,പൊതു റിപ്പോർട്ടുകൾ:
Number of app  downloads,അപ്ലിക്കേഷൻ ഡൗൺലോഡുകളുടെ എണ്ണം
Total number of Anganwadi centers registered,ആകെ നമ്പർ അംഗൻവാടി കേന്ദ്രങ്ങൾ രജിസ്റ്റർ ചെയ്തു
Total number of beneficiaries registered (National/state/district/block wise),രജിസ്റ്റർ ചെയ്ത മൊത്തം ഗുണഭോക്താക്കളുടെ എണ്ണം (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of pregnant women registered(National/state/district/block wise),രജിസ്റ്റർ ചെയ്ത ഗർഭിണികളുടെ ആകെ എണ്ണം (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of  lactating mothers registered(National/state/district/block wise),മുലയൂട്ടുന്ന അമ്മമാരുടെ ആകെ എണ്ണം (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of children (0-6months) registered(National/state/district/block wise),രജിസ്റ്റർ ചെയ്ത കുട്ടികളുടെ എണ്ണം (0-6 മാസം) (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of children (6months-3years) registered(National/state/district/ block wise),രജിസ്റ്റർ ചെയ്ത ആകെ കുട്ടികളുടെ എണ്ണം (6 മാസം -3 വർഷം) രജിസ്റ്റർ ചെയ്തു (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Total Number of children (3-6years) registered(National/state/district/ block wise),ആകെ കുട്ടികളുടെ എണ്ണം (3-6 വർഷം) രജിസ്റ്റർ ചെയ്തു (ദേശീയ / സംസ്ഥാന / ജില്ല / ബ്ലോക്ക് തിരിച്ചുള്ള)
Maternal and child nutrition:,മാതൃ-ശിശു പോഷകാഹാരം:
How many beneficiaries got THR in 21 days,21 ദിവസത്തിനുള്ളിൽ എത്ര ഗുണഭോക്താക്കൾക്ക് ടിഎച്ച്ആർ ലഭിച്ചു
How many children breastfed exclusively in the first hour after delivery,പ്രസവശേഷം ആദ്യ മണിക്കൂറിൽ എത്ര കുട്ടികൾ പ്രത്യേകമായി മുലയൂട്ടുന്നു
How many lactating mothers are given HCM,മുലയൂട്ടുന്ന അമ്മമാർക്ക് എച്ച്.സി.എം
Average level of calcium in children aged 3-6 years,3-6 വയസ് പ്രായമുള്ള കുട്ടികളിൽ ശരാശരി കാൽസ്യം
Average level of iron in children aged 3-6years,3-6 വയസ് പ്രായമുള്ള കുട്ടികളിൽ ഇരുമ്പിന്റെ ശരാശരി നില
"Total number of vaccinations administered per month (block, district, state, national level)","പ്രതിമാസം നൽകുന്ന മൊത്തം പ്രതിരോധ കുത്തിവയ്പ്പുകളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,കുത്തിവയ്പ്പുകളുടെ നിർദ്ദിഷ്ട റിപ്പോർട്ട് പ്രതിമാസം നൽകപ്പെടുന്നു (ബിസിജി / ഒപിവി / ഹെപ്പറ്റൈറ്റിസ് ബി / റോട്ടവൈറസ് / പോളിയോ / ന്യുമോകോക്കൽ / പെന്റാവാലന്റ്)
AWC infrastructure:,AWC ഇൻഫ്രാസ്ട്രക്ചർ:
"Number of AWCs (block, district, state, national level)","AWC- കളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
"Total number of Balvatikas (block district, state, national level)","ബൽവതികകളുടെ ആകെ എണ്ണം (ബ്ലോക്ക് ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","ശുദ്ധമായ കുടിവെള്ളമുള്ള AWC- കളുടെ (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ) ആകെ എണ്ണം"
"Total number of AWCs (block, district, state, national level) with working weighing scale","പ്രവർത്തന തൂക്കമുള്ള സ്കെയിലിനൊപ്പം ആകെ AWC- കളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
"Total number of AWCs (block, district, state, national level) with electricity","വൈദ്യുതി ഉപയോഗിച്ച് ആകെ AWC- കളുടെ എണ്ണം (ബ്ലോക്ക്, ജില്ല, സംസ്ഥാന, ദേശീയ തലത്തിൽ)"
Total number of AWCs that are government owned,സർക്കാർ ഉടമസ്ഥതയിലുള്ള AWC- കളുടെ ആകെ എണ്ണം
Total number of AWCs that are privately owned,സ്വകാര്യ ഉടമസ്ഥതയിലുള്ള AWC- കളുടെ ആകെ എണ്ണം
How to contact Poshan Tracker Team?,പോഷൻ ട്രാക്കർ ടീമിനെ എങ്ങനെ ബന്ധപ്പെടാം?
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,support-poshantrackr@gov.in ൽ ഇമെയിലുകൾ അയച്ചുകൊണ്ട് പോഷൻ ട്രാക്കർ ടീമിനെ ബന്ധപ്പെടാം. ഹാൻഡ്‌ഹോൾഡിംഗിനും പിന്തുണയ്‌ക്കും ഞങ്ങൾ ഓരോ ദിവസവും ഉച്ചകഴിഞ്ഞ് 4:15 മുതൽ 5:15 വരെ വീഡിയോ കോൺഫറൻസിലൂടെ ലഭ്യമാണ്.
Can a beneficiary register directly using application.,ഒരു ഗുണഭോക്താവിന് അപേക്ഷ ഉപയോഗിച്ച് നേരിട്ട് രജിസ്റ്റർ ചെയ്യാം.
Currently a beneficiary can register by the help of an AWW,നിലവിൽ ഒരു ഗുണഭോക്താവിന് AWW-ന്റെ സഹായത്തോടെ രജിസ്റ്റർ ചെയ്യാം
Who is a beneficiary?,ആരാണ് ഒരു ഗുണഭോക്താവ്?
There are 6 categories for beneficiaries,ഗുണഭോക്താക്കൾക്ക് 6 വിഭാഗങ്ങളുണ്ട്
Pregnant Women,ഗർഭിണികൾ
Lactating Mother,മുലയൂട്ടുന്ന അമ്മ
Children from 0 to 6 months,0 മുതൽ 6 മാസം വരെയുള്ള കുട്ടികൾ
Children from 6 months to 3 years,6 മാസം മുതൽ 3 വർഷം വരെയുള്ള കുട്ടികൾ
Children from 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വരെയുള്ള കുട്ടികൾ
Adolescent girls,കൗമാരക്കാരായ പെൺകുട്ടികൾ
Can a beneficiary change his/her AWC?,ഒരു ഗുണഭോക്താവിന് അവന്റെ/അവളുടെ AWC മാറ്റാൻ കഴിയുമോ?
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,AWW-ന് അവരുടെ ആധാർ നമ്പർ അടിസ്ഥാനമാക്കി ഒരു AWC-യിൽ നിന്ന് മറ്റൊരു AWC-ലേക്ക് ഒരു ഗുണഭോക്താവിനെ മൈഗ്രേറ്റ് ചെയ്യാൻ 'മൈഗ്രേറ്റ് ബെനിഫിഷ്യറി' ഓപ്ഷൻ ഉപയോഗിക്കാം.
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
A beneficiary is eligible for THR for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് THR-ന് അർഹതയുണ്ട്.
Who is eligible for Take Home Ration?,ടേക്ക് ഹോം റേഷൻ ലഭിക്കാൻ അർഹതയുള്ളത് ആരാണ്?
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.","ഗർഭിണികൾ, മുലയൂട്ടുന്ന അമ്മമാർ, 6 മാസം മുതൽ 3 വയസ്സ് വരെയുള്ള കുട്ടികൾ, കൗമാരക്കാരായ പെൺകുട്ടികൾ."
Where can I enquire about take home ration?,റേഷൻ വീട്ടിലേക്ക് കൊണ്ടുപോകുന്നതിനെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?
Please contact your respective Anganwadi worker.,ദയവായി നിങ്ങളുടെ അംഗൻവാടി വർക്കറുമായി ബന്ധപ്പെടുക.
Who is eligible for additional supplementary food.,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് അർഹതയുള്ളവർ.
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.
What is the eligibility of a beneficiary?,ഒരു ഗുണഭോക്താവിന്റെ യോഗ്യത എന്താണ്?
A beneficiary is eligible for HCM for at least 21 days in a month.,ഒരു ഗുണഭോക്താവിന് ഒരു മാസത്തിൽ കുറഞ്ഞത് 21 ദിവസത്തേക്ക് HCM-ന് അർഹതയുണ്ട്.
Who is eligible for Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തിന് അർഹതയുള്ളത് ആരാണ്?
Children in the age group of 3 years to 6 years,3 വയസ്സ് മുതൽ 6 വയസ്സ് വിഭാഗം കുട്ടികളുടെ വിഭാഗം
Where can I enquire about Hot Cooked Meal?,ചൂട് പാകം ചെയ്ത ഭക്ഷണത്തെക്കുറിച്ച് എനിക്ക് എവിടെ അന്വേഷിക്കാനാകും?
Please contact your respective Anganwadi Centre.,ദയവായി നിങ്ങളുടെ അങ്കണവാടി കേന്ദ്രവുമായി ബന്ധപ്പെടുക.
Who is eligible for additional supplementary food?,അധിക സപ്ലിമെന്ററി ഭക്ഷണത്തിന് ആർക്കാണ് അർഹത?
Children who are identified as deficit on nutrition are eligible for additional food supplements.,പോഷകാഹാരക്കുറവ് തിരിച്ചറിയുന്ന കുട്ടികൾക്ക് അധിക ഭക്ഷണ സപ്ലിമെന്റുകൾക്ക് അർഹതയുണ്ട്.
Support,പിന്തുണ
 14408, 14408
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,മൊബൈൽ ആപ്പ് ഡൗൺലോഡ് ചെയ്യുക
Powered By,Powered By
About,കുറിച്
Resources,വിഭവങ്ങൾ
Dashboard,ഡാഷ്ബോർഡ്
Helpdesk,ഹെൽപ്പ് ഡെസ്ക്
FAQ,പതിവുചോദ്യങ്ങൾ
Poshan Calculator,പോഷൻ കാൽക്കുലേറ്റർ
Terms of Service,സേവന നിബന്ധനകൾ
