en,as
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.," লিংকটো ক্লিক কৰি প্ৰৱেশ কৰিব পাৰি।কেৱল ৰাষ্ট্ৰীয়, ৰাজ্যিক, জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যায়ত মনোনীত নোডেল পৰ্যায়ৰ বিষয়াসকলক ডেশ্বব'ৰ্ডত প্ৰৱেশ কৰিবলৈ এক অনন্য প্ৰমাণপত্ৰ প্ৰদান কৰা হয়।"
How many different types of reports can be generated over Poshan Tracker Dashboard?,কোনো এজনে কেনেকৈ AWW/AWCs যোগ কৰিব পাৰে?
There are various reports that can be generated from,"AWW/AWCs সকলক কেৱল নোডেল পৰ্যায়ৰ বিষয়াই যোগ কৰিব পাৰে। পদানুক্ৰমত ওপৰৰ স্তৰত থকা যিকোনো ব্যক্তি। ৰাষ্ট্ৰীয় পৰ্যায়ৰ দৰে ব্যৱহাৰকাৰীয়ে ৰাজ্য, জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যায়ৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে। ৰাজ্যিক পৰ্যায়ৰ ব্যৱহাৰকাৰীয়ে জিলা, প্ৰকল্প আৰু খণ্ড পৰ্যায়ৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে, জিলা পৰ্যায়ৰ ব্যৱহাৰকাৰীয়ে প্ৰকল্প আৰু খণ্ড পৰ্যায়ৰ ব্যৱহাৰকাৰী সৃষ্টি কৰিব পাৰে, প্ৰকল্প পৰ্যায়ৰ ব্যৱহাৰকাৰীয়ে খণ্ড স্তৰৰ user.ca সৃষ্টি কৰিব পাৰে।"
General Reports:,পোষণ ট্ৰেকাৰ ডেশ্বব'ৰ্ডৰ যোগেৰে কেইটা বিভিন্ন প্ৰকাৰৰ প্ৰতিবেদন সৃষ্টি কৰিব পাৰি?
Number of app  downloads,বিভিন্ন প্ৰতিবেদন যিবোৰ সৃষ্টি কৰিব পাৰে
Total number of Anganwadi centers registered,সাধাৰণ প্ৰতিবেদনঃ:
Total number of beneficiaries registered (National/state/district/block wise),সাধারণ রিপোর্ট
Total Number of pregnant women registered(National/state/district/block wise),সৰ্বমুঠ পঞ্জীভুক্ত অংগনৱাড়ী কেন্দ্ৰৰ সংখ্যা
Total Number of  lactating mothers registered(National/state/district/block wise),সৰ্বমুঠ পঞ্জীভুক্ত হিতাধিকাৰীৰ সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
Total Number of children (0-6months) registered(National/state/district/block wise),সৰ্বমুঠ পঞ্জীভু্ক্ত গৰ্ভৱতী মহিলাৰ সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
Total Number of children (6months-3years) registered(National/state/district/ block wise),সৰ্বমুঠ স্তন্যপান কৰাই থকা মহিলাৰ সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
Total Number of children (3-6years) registered(National/state/district/ block wise),সৰ্বমুঠ শিশুৰ (০-৬ মাহ) সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
Maternal and child nutrition:,সৰ্বমুঠ শিশুৰ (৬ মাহ-৩ বছৰ) সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
How many beneficiaries got THR in 21 days,সৰ্বমুঠ শিশুৰ (৩-৬ বছৰ) সংখ্যা (ৰাষ্ট্ৰীয়/ৰাজ্য/জিলা/খণ্ড অনুসৰি)
How many children breastfed exclusively in the first hour after delivery,মাতৃ আৰু শিশুৰ পুষ্টি:
How many lactating mothers are given HCM,২১ দিনত কিমান জন হিতাধিকাৰীয়ে THR লাভ কৰিছিল
Average level of calcium in children aged 3-6 years,প্ৰসৱৰ পিছত প্ৰথম ঘণ্টাত কিমানটা শিশুৱে কেৱল স্তন্যপান কৰিছিল
Average level of iron in children aged 3-6years,কেইগৰাকী স্তন্যপান কৰাই থকা মাতৃক HCM দিয়া হৈছে
"Total number of vaccinations administered per month (block, district, state, national level)",প্ৰসৱৰ পিছত প্ৰথম ঘণ্টাত কিমানটা শিশুৱে কেৱল স্তন্যপান কৰিছিল
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,৩-৬ বছৰ বয়সৰ শিশুৰ ক্ষেত্ৰত কেলচিয়ামৰ গড় স্তৰ
AWC infrastructure:,৩-৬ বছৰ বয়সৰ শিশুৰ ক্ষেত্ৰত আয়ৰনৰ গড় স্তৰ
"Number of AWCs (block, district, state, national level)","প্ৰতি মাহে প্ৰদান কৰা মুঠ টিকাকৰণৰ সংখ্যা (খণ্ড, জিলা, ৰাজ্য, ৰাষ্ট্ৰীয় স্তৰ)"
"Total number of Balvatikas (block district, state, national level)",প্ৰতি মাহে প্ৰদান কৰা টিকাকৰণ নিৰ্দিষ্ট প্ৰতিবেদন (বিচিজি/অ'পিভি/হেপাটাইটিছ বি/ৰোটাভাইৰাছ/পলিঅ/নিউমোকোকল/পেণ্টাভেলেণ্ট)
"Total number of AWCs (block, district, state, national level) with clean drinking water",AWC আন্তঃগাঁথনি:
"Total number of AWCs (block, district, state, national level) with working weighing scale","AWCৰ সংখ্যা (খণ্ড, জিলা, ৰাজ্য, ৰাষ্ট্ৰীয় স্তৰ)"
"Total number of AWCs (block, district, state, national level) with electricity","বলৱতিকাৰ মুঠ সংখ্যা (খণ্ড জিলা, ৰাজ্য, ৰাষ্ট্ৰীয় পৰ্যায়)"
Total number of AWCs that are government owned,"বিশুদ্ধ খোৱা পানীৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয় পৰ্যায়) সংখ্যা"
Total number of AWCs that are privately owned,"কাৰ্যকৰী ওজন স্কেলৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয় পৰ্যায়) সংখ্যা"
How to contact Poshan Tracker Team?,"বিদ্যু ৎৰ সৈতে মুঠ AWCৰ (খণ্ড, জিলা, ৰাজ্যিক, ৰাষ্ট্ৰীয় পৰ্যায়) সংখ্যা"
Poshan Tracker Team can be contacted by sending emails at support-poshantrackr@gov.in. For handholding and support we are also available over Video Conference each day 4:15 PM to 5:15 PM.,চৰকাৰী মালিকানাধীন মুঠ AWCৰ সংখ্যা
Can a beneficiary register directly using application.,ব্যক্তিগত মালিকানাধীন মুঠ AWCৰ সংখ্যা
Currently a beneficiary can register by the help of an AWW,পোষণ ট্ৰেকাৰ টীমক কেনেদৰে যোগাযোগ কৰিব?
Who is a beneficiary?,support-poshantrackr@gov.in-ত ইমেইল প্ৰেৰণ কৰি পোষণ ট্ৰেকাৰ টীমক যোগাযোগ কৰিব পাৰি। সহায় আৰু সহযোগিতাৰ বাবে আমি প্ৰতি দিনে ভিডিঅ’ কনফাৰেঞ্চতো 4:15 PM ৰ পৰা 5:15 PM লৈ উপলব্ধ থাকো৷।
There are 6 categories for beneficiaries,এগৰাকী হিতাধিকাৰীয়ে পোনপটীয়াকৈ এপ্লিকেচন ব্যৱহাৰ কৰি পঞ্জীয়ন কৰিব পাৰিব নে৷।
Pregnant Women,বৰ্তমান এগৰাকী হিতাধিকাৰীয়ে এটা AWW-ৰ সহায়ত পঞ্জীয়ন কৰিব পাৰে
Lactating Mother,এগৰাকী হিতাধিকাৰী কোন হয়?
Children from 0 to 6 months,হিতাধিকাৰীসকলৰ বাবে 6 টা শ্ৰেণী থাকে
Children from 6 months to 3 years,গৰ্ভৱতী মহিলা
Children from 3 years to 6 years,স্তন্যপান কৰোৱা মহিলা
Adolescent girls,0 ৰ পৰা 6 মাহৰ শিশু
Can a beneficiary change his/her AWC?,6 মাহৰ পৰা 3 বছৰৰ শিশু
An AWW can use ‘Migrate Beneficiary’ option to migrate a beneficiary from one AWC to another AWC basis their Aadhaar number.,3 বছৰৰ পৰা 6 বছৰৰ শিশু
What is the eligibility of a beneficiary?,কিশোৰী
A beneficiary is eligible for THR for at least 21 days in a month.,এগৰাকী হিতাধিকাৰীয়ে তেওঁৰ AWC সলনি কৰিব পাৰে নে?
Who is eligible for Take Home Ration?,এগৰাকী AWW-য়ে তেওঁলোকৰ আধাৰ নম্বৰৰ ভিত্তিত এটা AWC-ৰ পৰা আন এটা AWC-লৈ এগৰাকী হিতাধিকাৰীক মাইগ্ৰেট কৰিবলৈ ’মাইগ্ৰেট বেনিফিচিয়েৰী’ বিকল্পটো ব্যৱহাৰ কৰিব পাৰে৷।
"Pregnant Women, Lactating Mothers, Children from 6 months to 3 years and adolescent girls.",এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Where can I enquire about take home ration?,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে THR-ৰ বাবে যোগ্যতা অৰ্জন কৰে৷।
Please contact your respective Anganwadi worker.,টেক হোম ৰেচনৰ বাবে কোনে যোগ্যতা অৰ্জন কৰে?
Who is eligible for additional supplementary food.,"গৰ্ভৱতী মহিলা, স্তন্যপান কৰোৱা মহিলা, 6 মাহৰ পৰা 3 বছৰৰ শিশু আৰু কিশোৰী।"
Children who are identified as deficit on nutrition are eligible for additional food supplements.,টেক হোম ৰেচনৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?
What is the eligibility of a beneficiary?,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কৰ্মীক যোগাযোগ কৰক৷।
A beneficiary is eligible for HCM for at least 21 days in a month.,অতিৰিক্ত পৰিপূৰক খাদ্যৰ বাবে কোন যোগ্য।
Who is eligible for Hot Cooked Meal?,শিশু সকল যি পুষ্টিৰ অভাৱত ভোগা বুলি চিনাক্ত হৈছে তেওঁলোক অতিৰিক্ত খাদ্যৰ পৰিপূৰকৰ বাবে যোগ্য৷
Children in the age group of 3 years to 6 years,এগৰাকী হিতাধিকাৰী হোৱাৰ যোগ্যতা কি?
Where can I enquire about Hot Cooked Meal?,এগৰাকী হিতাধিকাৰী এমাহত অতিকেমও 21 দিনৰ বাবে HCM-ৰ বাবে যোগ্যতা অৰ্জন কৰে৷
Please contact your respective Anganwadi Centre.,হ’ট কুকড মীলৰ বাবে কোন যোগ্য?
Who is eligible for additional supplementary food?,3 বছৰৰ পৰা 6 বছৰ সময় সীমাৰ ভিতৰত শিশুসকল
Children who are identified as deficit on nutrition are eligible for additional food supplements.,হ’ট কুকড মীলৰ বিষয়ে মই ক’ত খবৰ কৰিব পাৰো?
Support,অনুগ্ৰহ কৰি আপোনাৰ সংশ্লিষ্ট অংগনৱাড়ী কেন্দ্ৰত যোগাযোগ কৰক৷
