en,mni
Adolescent Girls (11 Years-19 Years),ইনখৎলক্লিবী নুপীমচাশিং (চহি 11 - চহি 19)
What information to be added in AWC forms?,এ.দবলিয়ু ফোর্মশিংদা করি ইনফোর্মেসন হাপচিনগদগে?
"AWW are required to enter details related to infrastructure present in a particular Anganwadi centre. This includes structure, basic amenities, facilities, sanitization, drinking water etc.","এ.দবলিয়ু.দবলিয়ুনা অকক্নবা আঙ্গনৱাদি সেন্টর অমদা লৈরিবা ইনফ্রাষ্ট্রকচরগা মরি লৈনবা অকুপ্পা মরোল এন্টর তৌবা মথৌ তাই। মসিগী মনুংদা ষ্ট্রকচর, বেসিক এমিনিটিশিং, ফেসিলিটিশিং, সেনিটাইজেসন, থক্নবা ঈশিং, অসিনচিংবা য়াউই।"
How AWWS can sign up on the app if they are unable to register via their mobile numbers?,করিগুম্বা এ.দবলিয়ু.দবলিয়ুশিংনা মখোয়গী মোবাইল নম্বরশিংগী খুত্থাংদা এপতা রেজিষ্টর তৌবা ঙমদ্রবদি কমদৌনা মখোয়না সাইন অপ তৌগদগে?
In case AWW is unsuccessful in registering themselves there might be 2 possibilities:,"এ.দবলিয়ু.দবলিয়ুশিংনা মশামকপু রেজিষ্টর তৌবদা মায় পাক্ত্রবদি, মদুগী মরম 2 লৈবা য়াই:"
Their mobile number is not present in the data provided by the states to the MoWCD,টেটশিংনা এম.ও.দবলিয়ু.সি.দি (MoWCD) পীবা দেটাদা মখোয়গী মোবাইল নম্বরদু য়াউরমদবা য়াই।
They are newly added to the system and their mobile number is not yet provided by the state cell to the MoWCD.,মখোয় অদু সিষ্টেমদা নৌনা হাপচিল্লম্বা য়াই অমদি ষ্টেট সেলনা মখোয়গী মোবাইল নম্বর অদু এম.ও.দবলিয়ু.সি.দিদা পীদ্রিবা ওইরম্বা য়াই।
In both the above cases state nodal officers are empowered to add/ edit/Activate/Deactivate any of the AWW.,"মথক্কী থৌওং অনিমক্তা, ষ্টেট নোদেল ওফিসরশিংনা এ.দবলিয়ু.দবলিয়ু অমহেক্তবু হাপচিনবা/শেমদোকপা/এক্টিভেট/দিএক্টিভেট তৌবগী মপাঙ্গল লৈ।"
How can one access Poshan Tracker Dashboard?,কমদৌনা মীওই অমনা পোশন ত্রেক্কর দাশবোর্দ এক্সেস তৌবা য়াগদগে?
Poshan Tracker Dashboard can be accessed by signing onto the dashboard. Dashboard can be accessed by clicking the link ,পোশন ত্রেক্কর দাশবোর্দ অসি দাসবোর্দতা সাইন ইন তৌদুনা এক্সেস তৌবা য়াই। দাশবোর্দ অসি 
https://poshantracker.in/admin,https://poshantracker.in/admin
" Only nominated Nodal level officials at National, State, District, Project and Sector level are provided with a unique credentials to access the dashboard."," লিঙ্ক অসিদা ক্লিক তৌদুনা এক্সেস তৌবা য়াই। নেসনেল, ষ্টেট, দিষ্ট্রিক্ট, প্রোজেক্ট অমসুং সেক্টর লেভেলদা খল্লবা নোদেল লেভেল ওফিসিএলখক্তদা দাশবোর্দ এক্সেস তৌনবগী অখন্নবা ক্রিদেন্সিএল অমা পী।"
How one can add AWW/AWCs?,কমদৌনা এ.দবলিয়ু.দবলিয়ু/ এ.দবলিয়ু.সিশিং হাপচিনবা য়াবগে?
AWW/AWCs can only be added by nodal level official. Anybody in the above rank in the hierarchy.,"এ.দবলিয়ু.দবলিয়ু/ এ.দবলিয়ু.সিশিং অসি নোদেল লেভেল ওফিসিএলখক্তনা হাপচিনবা ঙম্মী। পীরিবা মথং মনাও অসিদা লৈবা মীওই অমনা হাপচিনবা য়াই। নেসনেল লেভেল য়ুজরনা ষ্টেট, দিষ্ট্রিক্ট, প্রোজেক্ট অমসুং সেক্টর লেভেল য়ুজর শেম্বা য়াই। ষ্টেট লেভেল য়ুজরনা দিষ্ট্রিক্ট, প্রোজেক্ট অমসুং সেক্টর লেভেল য়ুজর শেম্বা য়াই। দিষ্ট্রিক্ট লেভেল য়ুজরনা প্রোজেক্ট অমসুং সেক্টর লেভেল য়ুজর শেম্বা য়াই। প্রোজেক্ট লেভেল য়ুজরনা সেক্টর লেভেল য়ুজর শেম্বা য়াই।"
How many different types of reports can be generated over Poshan Tracker Dashboard?,পোশন ত্রেক্কর দাশবোর্দতা তোঙান-তোঙানবা রিপোর্ট মখল কয়া জেনরেট তৌবা য়াবগে?
There are various reports that can be generated from,জেনরেট তৌবা য়াবা রিপোর্ট মখলশিংদুদি
General Reports:,জেনরেল রিপোর্টশিং:
Number of app  downloads,এপ দাউনলোদকী মশিং
Total number of Anganwadi centers registered,রেজিষ্টর তৌরবা আঙ্গনৱাদি সেন্টরশিংগী অপুনবা মশিং
Total number of beneficiaries registered (National/state/district/block wise),রেজিষ্টর তৌরবা বেনিফিসরিশিংগী অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
Total Number of pregnant women registered(National/state/district/block wise),রেজিষ্টর তৌরবা মীরোনবী নুপীশিংগী অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
Total Number of  lactating mothers registered(National/state/district/block wise),রেজিষ্টর তৌরবা খোম্লাং ইল্লিবী মমাশিংগী অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
Total Number of children (0-6months) registered(National/state/district/block wise),রেজিষ্টর তৌরবা অঙাংশিংগী (থা 0-6) অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
Total Number of children (6months-3years) registered(National/state/district/ block wise),রেজিষ্টর তৌরবা অঙাংশিংগী (থা 6 - চহি 3) অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
Total Number of children (3-6years) registered(National/state/district/ block wise),রেজিষ্টর তৌরবা অঙাংশিংগী (চহি 3 - চহি 6) অপুনবা মশিং (নেসনেল/ষ্টেট/দিষ্ট্রিক্ট/ব্লোক্কী মতুংইন্না)
Maternal and child nutrition:,মমাগী অমসুং অঙাংগী ন্যুত্রিসন:
How many beneficiaries got THR in 21 days,বেনিফিসরি কয়ানা নুমিৎ 21 নিদা টি.ঐচ.আর লৌখিবগে
How many children breastfed exclusively in the first hour after delivery,দিলিভরি মতুংগী অহানবা পুংদা অঙাং কয়াদা খোম্লাংখক্তা ইনখিবগে
How many lactating mothers are given HCM,খোম্লাং ইল্লিবী মমা কয়াদা ঐচ.সি.এম পীখিবগে
Average level of calcium in children aged 3-6 years,দিলিভরি মতুংগী অহানবা পুংদা অঙাং কয়াদা খোম্লাংখক্তা ইনখিবগে
Average level of iron in children aged 3-6years,চহি 3 দগী 6 ফাউবগী অঙাংশিংদা য়াউরিবা কেলসিয়মগী এভরেজ লেভেল
"Total number of vaccinations administered per month (block, district, state, national level)",চহি 3 দগী 6 ফাউবগী অঙাংশিংদা য়াউরিবা আইরনগী এভরেজ লেভেল
Vaccinations specific report administered per month (BCG/OPV/Hepatitis B/Rotavirus/Polio/Pneumococcal/Pentavalent,"থা অমদা টিকা থাখিবগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
AWC infrastructure:,থা অমদা টিকা থাখিবগী অকক্নবা রিপোর্ট (বি.সি.জি/ও.পি.ভি/হেপাটাইটিস বি/রোটাভাইরস/পোলিও/ন্যুমোকোকেল/পেন্টাভেলেন্ট)
"Number of AWCs (block, district, state, national level)",এ.দবলিয়ু.সি ইনফ্রাষ্ট্রকচর:
"Total number of Balvatikas (block district, state, national level)","এ.দবলিয়ু.সিশিংগী মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
"Total number of AWCs (block, district, state, national level) with clean drinking water","বালবাটিকাশিংগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
"Total number of AWCs (block, district, state, national level) with working weighing scale","অফবা থক্নবা ঈশিংগা কোন্নবা এ.দবলিয়ু.সিশিংগী অপুনবা মশিং (ব্লোক, দিষ্ট্রিক্ট, ষ্টেট, নেসনেল লেভেল)"
