en,ur
Mobile Number ,نیا ٹکٹ کھولیں۔
*,ٹکٹ کی حیثیت چیک کریں۔
Email,ایک نیا ٹکٹ بنائیں
Having difficulty raising ticket?,نیا ٹکٹ بنانے کے لیے براہ کرم نیچے دیئے گئے فارم کو پُر کریں۔ آنگن واڑی ورکر 48 گھنٹے کے اندر آپ سے رابطہ کرے گی۔.
Poshan Helpline,فائدہ اٹھانے والا زمرہ 
14408,*
Email,Select a Beneficiary Category
support-poshantrackr@gov.in,حاملہ خاتون
By District,دودھ پلانے والی مائیں
State ,بچے (0-6 مہینے)
*,بچے (6 مہینے - 3 سال)
Select State,بچے (3 - 6 سال)
District ,Adolescent Girls
*,سے متعلق سوال 
Select District,*
Project ,آگن واڑی کارکن/آگن واڑی مرکز
*,AWW/AWC
Select Project,سپروائزر
Sector ,مدد کا موضوع 
*,*
Select Sector,مدد کا موضوع منتخب کریں
Anganwadi Center ,تفصیل 
*,*
Select An Anganwadi center,کوئی وضاحت منتخب کریں
Create Ticket,نام 
Reset,*
Support,موبائل فون کانمبر 
 14408,*
 support-poshantrackr@gov.in,ای میل
Download Mobile App,ٹکٹ حاصل کرنے میں دشواری?
Powered By,Poshan Helpline
About,14408
Resources,ای میل
Dashboard,support-poshantrackr@gov.in
Helpdesk,ضلع کے لحاظ سے
FAQ,ریاستی 
Poshan Calculator,*
Terms of Service,ریاست منتخب کریں
Privacy Policy,ضلع 
Careers,*
Copyright@2023  Poshan Tracker. All rights reserved,ضلع منتخب کریں
 You need to enable JavaScript to run this app.,پروجیکٹ 
Poshan Helpline:,*
14408,پروجیکٹ کو منتخب کریں۔
JanAndolan,سیکٹر 
ABHA (Health ID),*
Language,سیکٹر منتخب کریں
English,آنگن واڑی سنٹر 
हिंदी,*
ગુજરાતી,آنگن واڑی سنٹر کا انتخاب کریں۔
મરાઠી,ٹکٹ بنائیں
ಕನ್ನಡ,دوبارہ ترتیب دیں۔
മലയാളം,حمایت
தமிழ், 14408
తెలుగు, support-poshantrackr@gov.in
বাংলা,موبائل ایپ ڈاؤن لوڈ کریں۔
অসমীয়া,Powered By
ਪੰਜਾਬੀ,کے بارے میں
ଓଡ଼ିଆ,ذرائع وسائل
नेपाली,ڈیش بورڈ
डोगरी,ہیلپ ڈیسک
कोंकणी,عمومی سوالات
सिंधी,پوشن کیلکولیٹر
बोडो,خدمت کی شرائط۔
मैथिली,رازداری کی پالیسی
মণিপুরী,کیریئرز
संथाली,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
اردو, You need to enable JavaScript to run this app.
کٲشُر,Poshan Helpline:
About,14408
Resources,JanAndolan
Resources,ABHA (صحت کا شناختی کارڈ)
Vaccination Schedule,زبان
Dashboard,English
Dashboard,हिंदी
Mission Utkarsh,ગુજરાતી
Helpdesk,મરાઠી
Beneficiary Redressal,ಕನ್ನಡ
State Helpdesk,മലയാളം
FAQ,தமிழ்
Poshan Calculator,తెలుగు
Login,বাংলা
OPEN A NEW TICKET,অসমীয়া
CHECK TICKET STATUS,ਪੰਜਾਬੀ
Check Ticket Status,ଓଡ଼ିଆ
Please provide your mobile number and a ticket number.,नेपाली
Mobile ,डोगरी
*,कोंकणी
Ticket Number ,सिंधी
*,बोडो
View Ticket,मैथिली
"If this is your first time contacting us or you've lost the ticket number, please ",মণিপুরী
open a new ticket,संथाली
Support,اردو
 14408,کٲشُر
 support-poshantrackr@gov.in,کے بارے میں
Download Mobile App,ذرائع وسائل
Powered By,ذرائع وسائل
About,ویکسینیشن شیڈول
Resources,ڈیش بورڈ
Dashboard,ڈیش بورڈ
Helpdesk,Mission Utkarsh
FAQ,ہیلپ ڈیسک
Poshan Calculator,فائدہ اٹھانے والے کا ازالہ
Terms of Service,اسٹیٹ ہیلپ ڈیسک
Privacy Policy,عمومی سوالات
Careers,پوشن کیلکولیٹر
Copyright@2023  Poshan Tracker. All rights reserved,لاگ ان کریں
 You need to enable JavaScript to run this app.,نیا ٹکٹ کھولیں۔
Poshan Helpline:,ٹکٹ کی حیثیت چیک کریں۔
14408,ٹکٹ کی حیثیت چیک کریں۔
JanAndolan,براہ کرم اپنا موبائل نمبر اور ٹکٹ نمبر فراہم کریں۔
ABHA (Health ID),موبائل 
Language,*
English,ٹکٹ نمبر 
हिंदी,*
ગુજરાતી,ٹکٹ دیکھیں
મરાઠી,اگر آپ ہم سے پہلی بار رابطہ کر رہے ہیں یا آپ کا ٹکٹ نمبر کھو گیا ہے، تو براہ کرم
ಕನ್ನಡ,ایک نیا ٹکٹ کھولیں
മലയാളം,حمایت
தமிழ், 14408
తెలుగు, support-poshantrackr@gov.in
বাংলা,موبائل ایپ ڈاؤن لوڈ کریں۔
অসমীয়া,Powered By
ਪੰਜਾਬੀ,کے بارے میں
ଓଡ଼ିଆ,ذرائع وسائل
नेपाली,ڈیش بورڈ
डोगरी,ہیلپ ڈیسک
कोंकणी,عمومی سوالات
सिंधी,پوشن کیلکولیٹر
बोडो,خدمت کی شرائط۔
मैथिली,رازداری کی پالیسی
মণিপুরী,کیریئرز
संथाली,کاپی رائٹ@2023  پوشن ٹریکر. جملہ حقوق محفوظ ہیں
اردو, You need to enable JavaScript to run this app.
کٲشُر,Poshan Helpline:
About,14408
Resources,JanAndolan
Resources,ABHA (صحت کا شناختی کارڈ)
Vaccination Schedule,زبان
Dashboard,English
Dashboard,हिंदी
Mission Utkarsh,ગુજરાતી
Helpdesk,મરાઠી
Beneficiary Redressal,ಕನ್ನಡ
State Helpdesk,മലയാളം
FAQ,தமிழ்
Poshan Calculator,తెలుగు
Login,বাংলা
Frequently Asked Questions,অসমীয়া
ALL,ਪੰਜਾਬੀ
BENEFICIARY REGISTRATION,ଓଡ଼ିଆ
Take Home Ration,नेपाली
Hot Cooked Meal,डोगरी
What is Poshan Abhiyaan?,कोंकणी
"Poshan Abhiyaan is India’s flagship programme to improve nutritional outcomes for children, adolescents, pregnant women and lactating mothers by leveraging technology, a targeted approach and convergence.",सिंधी
What is the purpose of Launching Poshan Tracker?,बोडो
"The purpose of POSHAN Tracker application is to provide a 360-degree view of the activities of the Anganwadi Centre (AWC), service deliveries of Anganwadi Workers (AWWs) and complete beneficiary management for pregnant women, lactating mothers and children. The proposed system should enable real-time monitoring and tracking of all AWCs, AWWs and beneficiaries on the defined indicators.",मैथिली
How can one Download Poshan Tracker App?,মণিপুরী
Poshan Tracker App is available over Google playstore ,संथाली
https://play.google.com/store/apps/details?id=com.poshantracker,اردو
Is poshan trackers app available over Apple I Store also?,کٲشُر
"No, Poshan Tracker is available only for Android version",کے بارے میں
What is the minimum requirement to install Poshan Tracker App in mobile?,ذرائع وسائل
Poshan Tracker App can only be installed in Android Phone with Android version 6.0 and above.,ذرائع وسائل
Can App be accessed without internet?,ویکسینیشن شیڈول
"App can be accessed offline, currently daily tracking feature is available for offline data entry. Offline mode can store latest 3 days data.",ڈیش بورڈ
Who are the target userbase of Poshan Tracker App?,ڈیش بورڈ
"Poshan Tracker App is meant for Aanganwadi workers, Anganwadi centers to enter beneficiaries data in the forms. It is not at all developed for general public.",Mission Utkarsh
How to Login in Poshan Tracker App?,ہیلپ ڈیسک
"AWWs are requested to enter their mobile numbers in the Login screen. An OTP will be sent to your registered mobile number, post which you are required too set your MPIN.",فائدہ اٹھانے والے کا ازالہ
What is  MPIN?,اسٹیٹ ہیلپ ڈیسک
MPIN is a 4 digits passcode which is set by an Anganwadi worker while registering over the Poshan Tracker App.,عمومی سوالات
How to set MPIN?,پوشن کیلکولیٹر
"MPIN can be set by respective Anganwadi worker by requesting an OTP against his/her mobile number. If Mobile number is already present in the database, the respective Anganwadi person will receive 4 digits OTP on registered mobile number. Post entering the OTP, AWW can easily set customized MPIN.",لاگ ان کریں
When and how to use MPIN?,اکثر پوچھے گئے سوالات
"While login to the Poshan Tracker App, AWWs are required to enter the MPIN set by them. This MPIN will act as a passcode to run the Poshan Tracker App and entering the information in the beneficiaries forms.",تمام
How to Reset MPIN?,فائدہ مند رجسٹریشن
"MPIN can be easily reset by any AWW/AWC user. You are required to click on Forgot MPIN, and enter your registered mobile number. You will receive and OTP on your registered mobile number and you can ealily reset your MPIN",گھر کا راشن لیں۔
In How many languages the Poshan Tracker App is available?,گرم پکا ہوا کھانا
Poshan Tracker App is available in 22 different languages,پوشن ابھیان کیا ہے ؟
The various languages available are:,پوشن ابھیان بھارت کا ایک اہم منصوبہ ہے جو بچوں نوعمروں کے لئے غذاسے متعلق نتائج کی اصلاح کرتا ہے
English,پوشن ٹریکر کی ابتدا کا مقصد کیا ہے ؟
Hindi,پوشان ٹریکر درخواست کا مقصد آنگن واڑی سنٹر (اے ڈبلیو سی) کی سرگرمیوں کا 360 ڈگری نقطہ نظر ، آنگن واڑی ورکرز (اے ڈبلیو ڈبلیو) کی خدمت کی فراہمی اور حاملہ خواتین ، دودھ پلانے والی ماؤں اور بچوں کے لئے مستفید انتظامیہ کو فراہم کرنا ہے۔ مجوزہ نظام کو طے شدہ اشارے پر تمام AWCs ، AWWs اور مستفید افراد کی اصل وقت کی نگرانی اور ان سے باخبر رہنے کے قابل بنانا چاہئے۔
Gujarati,کوئی شخص پوشن ٹریکر اپلیکیشن کیسے ڈاون لوڈ کر سکتا ہے ؟
Punjabi,پوشن ٹریکر اپلیکیشن گوگل پلے استور پر دستیاب ہے 
Marathi,https://play.google.com/store/apps/details?id=com.poshantracker
Bangla,کیا پوشن ٹریکر اپلیکیشن اپیل Iاسٹور پر بھی دستئیاب ہے ؟
Kannada,جی نہیں، پوشن ٹریکر صرف اینڈروائیڈ کے ورژن میں ہی دستیاب ہے
Tamil,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت کیا ہے ؟
Telugu,پوشن ٹریکر اپلیکیشن کو موبائل میں انسٹال کرنے کی کماز کم ضرورت اینڈروائیڈ ورژن 6.0 ہونا چاہئے
Malyalam,کیا پوشن ٹریکر اپلیکیشن اپیل بغیر انٹرنیٹ کے بھی فعال ہوگا؟
Odia,جی نہیں، پوشن ٹریکر اپلی کیشن بغیر انٹرنیٹ رابطے کے فعال نہیں ہوگا۔
Assamese,پوشن ٹریکر اپلی کیشن کے مطلوبہ مستعمل بنیادی طور پر کون ہوں گے ؟
Nepali,پوشن ٹریکر اپلی کیشن سب سے زیادہ فعال آنگن واڑی عاملین کے لئے کار آمد ہوگا آنگن واڑی مراکز پر جہاں فوائد حاصل کرنےوالوں کی معلومات تشکیل دی گئی ہیں یہ عوام الناس کے لئے ہرگز نہیں ہے
Dogri,پوشن ٹریکر اپلی کیشن پر کس طرح لاگ ان کریں ؟
Konkani,AWWs سے درخواست ہے کہ وہ اپنا موبائل نمبر اپنے لاگ ان اسکرین پر شامل کریں ایک OTPان کے رجسٹرڈ شدہ موبائل پر بھیجا جائے گا۔ پھر اس کے بعد آپ کوMPIN.سیٹ کرنے کی ضرورت درپیش ہوگی
Sindhi,MPIN.کیا ہے؟
Bodo,MPIN.ایک چار عدد پاس ورڈ ہے جو آنگن واڑی عاملین کے ذریعہ سیٹ کیا جاتا ہےجب وہ پوشن ٹریکر اپلیکیشن کے لئے رجسٹر کرتے ہیں
Maithili,MPIN.کو کس طرح سیٹ کرنا ہے ؟
Manipuri,MPIN.کومتعلقہ آنگن واڑی عاملین کے ذریعہ سیٹ کیا جا سکتا ہے اپنے موبائل سے OTP کی درخواست کرنے پر اگرچہ یکساں موبائل نمبر اس اپلیکیشن کے ڈاٹابیس میں موجود ہوتب متعلقہ آنگین واڑی عامل کو 4 عددی OTP موصول ہوگا اپنے موبائل پر جس کو داخل کرنے پر AWW آسانی سے مطلوبہ MPIN. سیٹ کیا جا سکتاہے
