en,ne
Poshan Helpline:,को बारेमा
14408,संसाधन
JanAndolan,संसाधन
ABHA (Health ID),खोप अनुसूची
Language,ड्यासबोर्ड
English,ड्यासबोर्ड
हिंदी,Mission Utkarsh
ગુજરાતી,सहायता केन्द्र
મરાઠી,हितग्राही निवारण
ಕನ್ನಡ,राज्य सहायता डेस्क
മലയാളം,एफएक्यू
தமிழ்,पोशन क्याल्कुलेटर
తెలుగు,लग-इन
বাংলা,पोशन क्याल्कुलेटर
অসমীয়া,पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्ल्यूएचओ) द्वारा व्याख्या मापदण्ड आधारित बच्चाको वृद्धि मापन गर्न डिजाइन हो।.
ਪੰਜਾਬੀ,पोशन क्याल्कुलेटर कसरी प्रयोग गर्ने?
ଓଡ଼ିଆ,लिङ्ग चयन गर्नुहोस्
नेपाली,जन्म मिति प्रविष्ट गर्नुहोस्
डोगरी,सेन्टिमिटर मा उचाई प्रविष्ट गर्नुहोस्
कोंकणी,किलोग्राम मा तौल प्रविष्ट गर्नुहोस्
सिंधी,नतिजाहरू देखाउने मा क्लिक गर्नुहोस्
बोडो,लिंग 
मैथिली,*
মণিপুরী,केटा
संथाली,केटी
اردو,जन्ममिति 
کٲشُر,*
About,उचाई (सेमी) 
Resources,*
Resources,*उचाई 38 देखि 150 का बीच हुनुपर्छ
Vaccination Schedule,सेमी
Dashboard,वजन (केजी) 
Dashboard,*
Mission Utkarsh,*वजन 0.90 देखि 58 का बीच हुनुपर्छ
Helpdesk,केजी
Beneficiary Redressal,परिणामहरू देखाउनुहोस्
State Helpdesk,पोशन क्याल्कुलेटर भनेको के हो
FAQ,पोशन क्याल्कुलेटर विश्व स्वास्थ्य संगठन (डब्लूएचओ) मापदण्ड अनुसार बच्चाको विभिन्न स्वास्थ्य अवस्थाहरूलाई मान्यता दिन मद्दत गर्दछ।.
Poshan Calculator,डब्ल्यूएचओ मापदण्ड हो :
Login,स्टन्टिङ (उमेरको लागि उचाइ) 
OPEN A NEW TICKET,0 महिना देखि 6 वर्ष सम्म
CHECK TICKET STATUS,गम्भीर रूपमा स्टन्ट
Check Ticket Status,मध्यम रूपमा स्टन्ट गरिएको
Please provide your mobile number and a ticket number.,सामान्य
Mobile ,कम तौल (उमेरको लागि वजन) 
*,0 महिना देखि 6 वर्ष सम्म
Ticket Number ,गम्भिर कम तौल
*,मध्यम कम तौल
View Ticket,सामान्य
"If this is your first time contacting us or you've lost the ticket number, please ",बर्बाद (उचाइको लागि वजन) - 
open a new ticket,0 महिना देखि 5 वर्ष सम्म
Support,गम्भीर रूपमा बर्बाद (एसएएम)
 14408,मध्यम रूपमा बर्बाद (एमएएम)
 support-poshantrackr@gov.in,सामान्य
Download Mobile App,बढी तौल
Powered By,मोटो
About,माथि उल्लिखित उमेर कोष्ठकहरू अनुसार माथिको मापदण्डहरू परिभाषित गरिएका छन्
Resources,सन्दर्भ तालिकाहरूको बारेमा
Dashboard,विश्वभरका शिशुहरू र साना बालबालिकाहरूको वृद्धि र विकासको मूल्याङ्कन गर्नको लागि नयाँ वृद्धि कर्भहरू सिर्जना गर्न 1997 र 2003 को बीचमा डब्ल्यूएचओ बहुकेन्द्रीय वृद्धि सन्दर्भ अध्ययन (एमजीआरएस) गरिएको थियो।.
