en,mai
Normal,सामान्य
Underweight (Weight for Age)- ,कम ओजन (उमेरक लेल ओजन)- 
0 months to 6 years,0 महीनासँ 6 बरख धरि
Severely Underweight,गंभीर रूपसँ ओजन
Moderately Underweight,मध्यम रूप सँ कम वजन
Normal,सामान्य
Wasting (Weight for Height)- ,बर्बाद करनाइ (ऊंचाईक लेल ओजन)- 
0 months to 5 years,0 महीनासँ 5 बरख धरि
Severely Wasted (SAM),गंभीर रूपसँ बर्बाद (एसएएम)
Moderately Wasted (MAM),मध्यम रूपसँ बर्बाद (एमएएम)
Normal,सामान्य
Overweight,बेसी ओजन
Obese,मोटा
Above standards are defined as per given above mentioned age brackets,उपरोक्त मानककेँ उपर्युक्त बएस वर्गक अनुसार परिभाषित केल गेल अछि
About Reference tables,संदर्भ तालिकासभक बारेमे
The WHO Multicentre Growth Reference Study (MGRS) was undertakenbetween 1997 and 2003 to generate new growth curves for assessing the growth and development of infants and young children around the world.,1997 आ 2003क बीच WHO मल्टिसेंटर ग्रोथ रेफरेंस स्टडी (MGRS) केल गेल छल ताकि दुनिया भरक नवजात अओर छोट बच्चासभक वृद्धि एवं विकासक मूल्यांकन करबाक लेल नव वृद्धि वक्र तैयार कएल जा सके.
"The MGRS collected primary growth data and related information from approximately 8500 children from widely different ethnic backgrounds and cultural settings (Brazil, Ghana, India, Norway, Oman and the USA).","MGRS व्यापक रूपे विभिन्न जातीय पृष्ठभूमि आ सांस्कृतिक व्यवस्थापन (ब्राजील, घाना, भारत, नॉर्वे, ओमान आ यूएसए)सँ लगभग 8500 बच्चासभसँ प्राथमिक वृद्धि आंकड़ा आ संबंधित जानकारी एकत्र केल।."
The new growth curves are expected to provide a single international standard that represents the best description of physiological growth for all children from birth to five years of age and to establish the breastfed infant as the normative model for growth and development.,नव वृद्धि वक्रसभसँ एकटा ऐना एकल अंतर्राष्ट्रीय मानक भेटैत अछि जे जन्म से लेकर पांच बरख धरिक सभ नेनासभक लेल शारीरिक विकासक सर्वोत्तम विवरणक प्रतिनिधित्व करैत अछि आ स्तनपान करय बला शिशुकेँ वृद्धि एवं विकासक लेल आदर्श मॉडलक रूपमे स्थापित करैत अछि।.
How to revive your Health?,अपन स्वास्थ्यमे केना सुधार कएल जाय?
How to revive your health if you are Severely Wasted (SAM),अपन स्वास्थ्यमे सुधार केना करी यदि अहाँ गंभीर रूपसँ निर्बल (SAM) छथि
How to revive your health if you are Moderately Wasted (MAM),अपन स्वास्थ्यमे सुधार केना करी यदि अहाँ मध्यम रूपसँ निर्बल (SAM) छथि
How to revive your health if you are Underweight,अपन स्वास्थ्यमे सुधार केना करू यदि अहाँ ओजन कम अछि
Support,मदति
 support-poshantrackr@gov.in, support-poshantrackr@gov.in
Download Mobile App,मोबाइल ऐप डाउनलोड करू
Powered By,Powered By
About,लगभग
Resources,साधन
Dashboard,डैशबोर्ड
Helpdesk,हेल्पडेस्क
FAQ,सदिखन पूछल जाय बला प्रश्न
Poshan Calculator,पोषण कैलकुलेटर
Terms of Service,सेवाक शर्तसभ
Privacy Policy,गोपनीयता नीति
Careers,करियर
Copyright@2023  Poshan Tracker. All rights reserved,Copyright@2023  Poshan Tracker. All rights reserved
 You need to enable JavaScript to run this app., You need to enable JavaScript to run this app.
Poshan Helpline:,Poshan Helpline:
14408,14408
JanAndolan,JanAndolan
ABHA (Health ID),आभा (स्वास्थ्य आईडी)
Language,भाषा
About,लगभग
Resources,साधन
Resources,साधन
Vaccination Schedule,टीकाकरण अनुसूची
Dashboard,डैशबोर्ड
Dashboard,डैशबोर्ड
